sen,sur,gap
It is [MASK] that he praised.,4.765108,obj
It is [MASK] that he painted.,10.1673975,obj
It is [MASK] that he noticed.,9.46192,obj
It is [MASK] that he needed.,5.774468,obj
It is [MASK] that he missed.,4.4577327,obj
It is [MASK] that he loves.,1.8225483,obj
It is [MASK] that he likes.,4.130953,obj
It is [MASK] that he injured.,10.712135,obj
It is [MASK] that he hurt.,5.1055293,obj
It is [MASK] that he hit.,4.031176,obj
It is [MASK] that he heard.,7.938594,obj
It is [MASK] that he hates.,3.6891012,obj
It is [MASK] that he greeted.,3.808601,obj
It is [MASK] that he found.,5.0642548,obj
It is [MASK] that he feared.,4.2152047,obj
It is [MASK] that he drew.,5.6404195,obj
It is [MASK] that he called.,8.607972,obj
It is [MASK] that he avoided.,7.131406,obj
It is [MASK] that he advised.,7.1948223,obj
It is [MASK] that he admired.,4.2493234,obj
It was [MASK] that she wanted.,2.118268,obj
It was [MASK] that she valued.,3.180956,obj
It was [MASK] that she trusted.,2.2129486,obj
It was [MASK] that she told.,3.722957,obj
It was [MASK] that she taught.,5.389211,obj
It was [MASK] that she stroke.,5.636159,obj
It was [MASK] that she sent.,2.83527,obj
It was [MASK] that she saw.,2.2426252,obj
It was [MASK] that she respected.,2.09423,obj
It was [MASK] that she pushed.,3.9843743,obj
It was [MASK] that she pulled.,3.4941092,obj
It was [MASK] that she pressed.,6.619402,obj
It was [MASK] that she praised.,2.3466227,obj
It was [MASK] that she painted.,4.565389,obj
It was [MASK] that she noticed.,3.9815543,obj
It was [MASK] that she needed.,3.290716,obj
It was [MASK] that she missed.,2.584166,obj
It was [MASK] that she loves.,2.8505473,obj
It was [MASK] that she likes.,4.4942703,obj
It was [MASK] that she injured.,3.9296608,obj
It was [MASK] that she hurt.,5.479087,obj
It was [MASK] that she hit.,2.102664,obj
It was [MASK] that she heard.,3.5476296,obj
It was [MASK] that she hates.,3.5509677,obj
It was [MASK] that she greeted.,2.8413932,obj
It was [MASK] that she found.,4.157385,obj
It was [MASK] that she feared.,1.5051775,obj
It was [MASK] that she drew.,4.061435,obj
It was [MASK] that she called.,8.599074,obj
It was [MASK] that she avoided.,4.172665,obj
It was [MASK] that she advised.,2.5741715,obj
It was [MASK] that she admired.,1.7543739,obj
It is [MASK] that she wanted.,3.406001,obj
It is [MASK] that she valued.,4.1798844,obj
It is [MASK] that she trusted.,2.2029462,obj
It is [MASK] that she told.,5.6870537,obj
It is [MASK] that she taught.,6.5715075,obj
It is [MASK] that she stroke.,6.8173313,obj
It is [MASK] that she sent.,4.1519423,obj
It is [MASK] that she saw.,3.8761353,obj
It is [MASK] that she respected.,2.671056,obj
It is [MASK] that she pushed.,5.59151,obj
It is [MASK] that she pulled.,4.788919,obj
It is [MASK] that she pressed.,8.10698,obj
It is [MASK] that she praised.,3.7215974,obj
It is [MASK] that she painted.,7.0148554,obj
It is [MASK] that she noticed.,8.18456,obj
It is [MASK] that she needed.,4.68933,obj
It is [MASK] that she missed.,3.6426883,obj
It is [MASK] that she loves.,2.02216,obj
It is [MASK] that she likes.,4.289245,obj
It is [MASK] that she injured.,8.238694,obj
It is [MASK] that she hurt.,5.7608275,obj
It is [MASK] that she hit.,3.6984541,obj
It is [MASK] that she heard.,7.1428103,obj
It is [MASK] that she hates.,2.975833,obj
It is [MASK] that she greeted.,2.7482858,obj
It is [MASK] that she found.,4.600485,obj
It is [MASK] that she feared.,2.591096,obj
It is [MASK] that she drew.,4.378578,obj
It is [MASK] that she called.,9.398876,obj
It is [MASK] that she avoided.,5.1405244,obj
It is [MASK] that she advised.,4.8613377,obj
It is [MASK] that she admired.,2.7740262,obj
It was [MASK] who she wanted.,14.442228,obj
It was [MASK] who she valued.,15.813152,obj
It was [MASK] who she trusted.,16.15824,obj
It was [MASK] who she told.,10.8347435,obj
It was [MASK] who she taught.,10.638003,obj
It was [MASK] who she stroke.,11.244962,obj
It was [MASK] who she sent.,10.717986,obj
It was [MASK] who she saw.,12.730114,obj
It was [MASK] who she respected.,15.831965,obj
It was [MASK] who she pushed.,10.980944,obj
It was [MASK] who she pulled.,10.464047,obj
It was [MASK] who she pressed.,11.090961,obj
It was [MASK] who she praised.,11.914289,obj
It was [MASK] who she painted.,9.564553,obj
It was [MASK] who she noticed.,12.84417,obj
It was [MASK] who she needed.,15.262536,obj
It was [MASK] who she missed.,15.5590315,obj
It was [MASK] who she loves.,8.713868,obj
It was [MASK] who she likes.,9.4845915,obj
It was [MASK] who she injured.,8.9952545,obj
It was [MASK] who she hurt.,10.98019,obj
It was [MASK] who she hit.,9.710766,obj
It was [MASK] who she heard.,13.339375,obj
It was [MASK] who she hates.,8.367443,obj
It was [MASK] who she greeted.,13.022741,obj
It was [MASK] who she found.,10.979935,obj
It was [MASK] who she feared.,16.389942,obj
It was [MASK] who she drew.,10.199011,obj
It was [MASK] who she called.,12.192944,obj
It was [MASK] who she avoided.,14.106831,obj
It was [MASK] who she advised.,9.66418,obj
It was [MASK] who she admired.,16.493488,obj
It is [MASK] who she wanted.,12.045672,obj
It is [MASK] who she valued.,11.786475,obj
It is [MASK] who she trusted.,11.549439,obj
It is [MASK] who she told.,8.35137,obj
It is [MASK] who she taught.,7.4850082,obj
It is [MASK] who she stroke.,8.544558,obj
It is [MASK] who she sent.,6.7875533,obj
It is [MASK] who she saw.,9.677333,obj
It is [MASK] who she respected.,11.283681,obj
It is [MASK] who she pushed.,8.195237,obj
It is [MASK] who she pulled.,7.7341614,obj
It is [MASK] who she pressed.,8.135384,obj
It is [MASK] who she praised.,9.928086,obj
It is [MASK] who she painted.,11.401863,obj
It is [MASK] who she noticed.,10.1818905,obj
It is [MASK] who she needed.,11.603981,obj
It is [MASK] who she missed.,13.575285,obj
It is [MASK] who she loves.,10.504895,obj
It is [MASK] who she likes.,10.888128,obj
It is [MASK] who she injured.,10.011824,obj
It is [MASK] who she hurt.,7.8529987,obj
It is [MASK] who she hit.,7.811397,obj
It is [MASK] who she heard.,11.241395,obj
It is [MASK] who she hates.,10.1235695,obj
It is [MASK] who she greeted.,9.145499,obj
It is [MASK] who she found.,8.402108,obj
It is [MASK] who she feared.,12.751538,obj
It is [MASK] who she drew.,8.47222,obj
It is [MASK] who she called.,8.2853565,obj
It is [MASK] who she avoided.,10.364299,obj
It is [MASK] who she advised.,7.8320155,obj
It is [MASK] who she admired.,12.143088,obj
It was [MASK] who she wanted.,7.6711545,obj
It was [MASK] who she valued.,9.809321,obj
It was [MASK] who she trusted.,10.107608,obj
It was [MASK] who she told.,4.8848658,obj
It was [MASK] who she taught.,5.5214944,obj
It was [MASK] who she stroke.,5.514433,obj
It was [MASK] who she sent.,5.2151947,obj
It was [MASK] who she saw.,7.187511,obj
It was [MASK] who she respected.,10.197269,obj
It was [MASK] who she pushed.,4.27835,obj
It was [MASK] who she pulled.,4.49337,obj
It was [MASK] who she pressed.,3.9934018,obj
It was [MASK] who she praised.,6.017346,obj
It was [MASK] who she painted.,3.9918547,obj
It was [MASK] who she noticed.,7.1494937,obj
It was [MASK] who she needed.,8.583862,obj
It was [MASK] who she missed.,9.827578,obj
It was [MASK] who she loves.,3.2848816,obj
It was [MASK] who she likes.,3.9817457,obj
It was [MASK] who she injured.,3.6274683,obj
It was [MASK] who she hurt.,4.5429697,obj
It was [MASK] who she hit.,4.2603636,obj
It was [MASK] who she heard.,7.3861957,obj
It was [MASK] who she hates.,2.8869462,obj
It was [MASK] who she greeted.,7.4525423,obj
It was [MASK] who she found.,5.64983,obj
It was [MASK] who she feared.,10.676448,obj
It was [MASK] who she drew.,5.019982,obj
It was [MASK] who she called.,5.9944115,obj
It was [MASK] who she avoided.,8.168864,obj
It was [MASK] who she advised.,4.033689,obj
It was [MASK] who she admired.,10.79836,obj
It is [MASK] who she wanted.,7.0123367,obj
It is [MASK] who she valued.,7.1482215,obj
It is [MASK] who she trusted.,6.8964763,obj
It is [MASK] who she told.,3.4287076,obj
It is [MASK] who she taught.,3.3364258,obj
It is [MASK] who she stroke.,4.3748016,obj
It is [MASK] who she sent.,2.6545792,obj
It is [MASK] who she saw.,4.97316,obj
It is [MASK] who she respected.,6.3494596,obj
It is [MASK] who she pushed.,2.9398246,obj
It is [MASK] who she pulled.,3.2243958,obj
It is [MASK] who she pressed.,2.687554,obj
It is [MASK] who she praised.,4.625579,obj
It is [MASK] who she painted.,8.631126,obj
It is [MASK] who she noticed.,5.0262094,obj
It is [MASK] who she needed.,5.9279227,obj
It is [MASK] who she missed.,8.019154,obj
It is [MASK] who she loves.,5.7960954,obj
It is [MASK] who she likes.,5.3581576,obj
It is [MASK] who she injured.,7.4566913,obj
It is [MASK] who she hurt.,3.072891,obj
It is [MASK] who she hit.,3.218496,obj
It is [MASK] who she heard.,7.007974,obj
It is [MASK] who she hates.,4.996933,obj
It is [MASK] who she greeted.,3.9491265,obj
It is [MASK] who she found.,4.5858045,obj
It is [MASK] who she feared.,7.685141,obj
It is [MASK] who she drew.,4.2556634,obj
It is [MASK] who she called.,3.3023672,obj
It is [MASK] who she avoided.,5.276677,obj
It is [MASK] who she advised.,3.1774461,obj
It is [MASK] who she admired.,6.9827933,obj
It was [MASK] who she wanted.,9.499223,obj
It was [MASK] who she valued.,9.562073,obj
It was [MASK] who she trusted.,9.36349,obj
It was [MASK] who she told.,7.345728,obj
It was [MASK] who she taught.,7.287534,obj
It was [MASK] who she stroke.,6.937898,obj
It was [MASK] who she sent.,8.486057,obj
It was [MASK] who she saw.,9.345645,obj
It was [MASK] who she respected.,9.791997,obj
It was [MASK] who she pushed.,8.608101,obj
It was [MASK] who she pulled.,9.010753,obj
It was [MASK] who she pressed.,9.325835,obj
It was [MASK] who she praised.,9.386599,obj
It was [MASK] who she painted.,8.165761,obj
It was [MASK] who she noticed.,10.1616535,obj
It was [MASK] who she needed.,9.986832,obj
It was [MASK] who she missed.,10.500796,obj
It was [MASK] who she loves.,9.819314,obj
It was [MASK] who she likes.,9.53635,obj
It was [MASK] who she injured.,8.301046,obj
It was [MASK] who she hurt.,7.9301496,obj
It was [MASK] who she hit.,7.8535013,obj
It was [MASK] who she heard.,9.430267,obj
It was [MASK] who she hates.,9.381588,obj
It was [MASK] who she greeted.,10.382281,obj
It was [MASK] who she found.,8.385336,obj
It was [MASK] who she feared.,9.887692,obj
It was [MASK] who she drew.,8.758077,obj
It was [MASK] who she called.,9.693415,obj
It was [MASK] who she avoided.,9.304882,obj
It was [MASK] who she advised.,7.6863313,obj
It was [MASK] who she admired.,10.266025,obj
It is [MASK] who she wanted.,9.933293,obj
It is [MASK] who she valued.,9.201257,obj
It is [MASK] who she trusted.,8.514285,obj
It is [MASK] who she told.,8.671427,obj
It is [MASK] who she taught.,8.668786,obj
It is [MASK] who she stroke.,7.2460055,obj
It is [MASK] who she sent.,8.958819,obj
It is [MASK] who she saw.,9.190639,obj
It is [MASK] who she respected.,9.070436,obj
It is [MASK] who she pushed.,8.800055,obj
It is [MASK] who she pulled.,8.741298,obj
It is [MASK] who she pressed.,9.587155,obj
It is [MASK] who she praised.,9.383576,obj
It is [MASK] who she painted.,13.010441,obj
It is [MASK] who she noticed.,9.962595,obj
It is [MASK] who she needed.,9.265937,obj
It is [MASK] who she missed.,10.440725,obj
It is [MASK] who she loves.,9.980905,obj
It is [MASK] who she likes.,9.943271,obj
It is [MASK] who she injured.,10.001766,obj
It is [MASK] who she hurt.,8.0595,obj
It is [MASK] who she hit.,7.71524,obj
It is [MASK] who she heard.,11.354467,obj
It is [MASK] who she hates.,9.269169,obj
It is [MASK] who she greeted.,10.022479,obj
It is [MASK] who she found.,8.220587,obj
It is [MASK] who she feared.,9.84574,obj
It is [MASK] who she drew.,9.6055565,obj
It is [MASK] who she called.,9.630813,obj
It is [MASK] who she avoided.,9.613586,obj
It is [MASK] who she advised.,9.568739,obj
It is [MASK] who she admired.,9.814621,obj
It was [MASK] who he wanted.,2.2966187,obj
It was [MASK] who he valued.,2.5581884,obj
It was [MASK] who he trusted.,4.183973,obj
It was [MASK] who he told.,4.028584,obj
It was [MASK] who he taught.,4.5960307,obj
It was [MASK] who he stroke.,3.0609417,obj
It was [MASK] who he sent.,4.2317977,obj
It was [MASK] who he saw.,4.672906,obj
It was [MASK] who he respected.,4.0849648,obj
It was [MASK] who he pushed.,2.9400582,obj
It was [MASK] who he pulled.,3.8007421,obj
It was [MASK] who he pressed.,4.1560903,obj
It was [MASK] who he praised.,4.592697,obj
It was [MASK] who he painted.,3.916862,obj
It was [MASK] who he noticed.,5.007894,obj
It was [MASK] who he needed.,2.9126747,obj
It was [MASK] who he missed.,4.577287,obj
It was [MASK] who he loves.,3.2666779,obj
It was [MASK] who he likes.,5.4639673,obj
It was [MASK] who he injured.,4.001314,obj
It was [MASK] who he hurt.,2.3495362,obj
It was [MASK] who he hit.,3.2386875,obj
It was [MASK] who he heard.,5.3497434,obj
It was [MASK] who he hates.,5.4281716,obj
It was [MASK] who he greeted.,5.853011,obj
It was [MASK] who he found.,4.8426123,obj
It was [MASK] who he feared.,3.6600897,obj
It was [MASK] who he drew.,3.6715672,obj
It was [MASK] who he called.,4.6705217,obj
It was [MASK] who he avoided.,4.0705433,obj
It was [MASK] who he advised.,3.9530728,obj
It was [MASK] who he admired.,4.1362686,obj
It is [MASK] who he wanted.,4.7811623,obj
It is [MASK] who he valued.,3.4788904,obj
It is [MASK] who he trusted.,5.165778,obj
It is [MASK] who he told.,5.530857,obj
It is [MASK] who he taught.,6.0273323,obj
It is [MASK] who he stroke.,4.6582623,obj
It is [MASK] who he sent.,5.7881055,obj
It is [MASK] who he saw.,5.8313427,obj
It is [MASK] who he respected.,4.873971,obj
It is [MASK] who he pushed.,4.5810957,obj
It is [MASK] who he pulled.,5.381488,obj
It is [MASK] who he pressed.,5.3331695,obj
It is [MASK] who he praised.,4.3713436,obj
It is [MASK] who he painted.,15.813698,obj
It is [MASK] who he noticed.,5.641006,obj
It is [MASK] who he needed.,4.4981294,obj
It is [MASK] who he missed.,5.091788,obj
It is [MASK] who he loves.,2.5795398,obj
It is [MASK] who he likes.,4.2457414,obj
It is [MASK] who he injured.,7.977276,obj
It is [MASK] who he hurt.,3.4111195,obj
It is [MASK] who he hit.,4.5014586,obj
It is [MASK] who he heard.,9.06507,obj
It is [MASK] who he hates.,4.1721096,obj
It is [MASK] who he greeted.,6.388232,obj
It is [MASK] who he found.,5.513836,obj
It is [MASK] who he feared.,4.352703,obj
It is [MASK] who he drew.,5.9729295,obj
It is [MASK] who he called.,5.6873627,obj
It is [MASK] who he avoided.,5.1017623,obj
It is [MASK] who he advised.,5.7533894,obj
It is [MASK] who he admired.,4.312712,obj
It was [MASK] who she wanted.,2.9537292,obj
It was [MASK] who she valued.,3.2408803,obj
It was [MASK] who she trusted.,3.702164,obj
It was [MASK] who she told.,3.3821783,obj
It was [MASK] who she taught.,5.0012236,obj
It was [MASK] who she stroke.,2.9397275,obj
It was [MASK] who she sent.,3.6252723,obj
It was [MASK] who she saw.,3.7766643,obj
It was [MASK] who she respected.,3.9729555,obj
It was [MASK] who she pushed.,2.8555655,obj
It was [MASK] who she pulled.,3.4341524,obj
It was [MASK] who she pressed.,3.738307,obj
It was [MASK] who she praised.,4.6034675,obj
It was [MASK] who she painted.,4.278542,obj
It was [MASK] who she noticed.,4.551301,obj
It was [MASK] who she needed.,3.2881825,obj
It was [MASK] who she missed.,4.7448688,obj
It was [MASK] who she loves.,3.6651545,obj
It was [MASK] who she likes.,5.371111,obj
It was [MASK] who she injured.,3.1347015,obj
It was [MASK] who she hurt.,2.3203645,obj
It was [MASK] who she hit.,2.3681636,obj
It was [MASK] who she heard.,3.9355645,obj
It was [MASK] who she hates.,4.990392,obj
It was [MASK] who she greeted.,5.3460445,obj
It was [MASK] who she found.,4.163896,obj
It was [MASK] who she feared.,3.7228959,obj
It was [MASK] who she drew.,3.3783195,obj
It was [MASK] who she called.,4.05954,obj
It was [MASK] who she avoided.,4.056485,obj
It was [MASK] who she advised.,3.8267107,obj
It was [MASK] who she admired.,4.1328254,obj
It is [MASK] who she wanted.,5.190557,obj
It is [MASK] who she valued.,3.6866646,obj
It is [MASK] who she trusted.,3.8253183,obj
It is [MASK] who she told.,5.035878,obj
It is [MASK] who she taught.,6.129863,obj
It is [MASK] who she stroke.,4.723453,obj
It is [MASK] who she sent.,5.1081133,obj
It is [MASK] who she saw.,4.509008,obj
It is [MASK] who she respected.,3.8842814,obj
It is [MASK] who she pushed.,4.1132636,obj
It is [MASK] who she pulled.,4.4107437,obj
It is [MASK] who she pressed.,4.3608317,obj
It is [MASK] who she praised.,4.6624503,obj
It is [MASK] who she painted.,7.9783554,obj
It is [MASK] who she noticed.,4.6444774,obj
It is [MASK] who she needed.,4.223293,obj
It is [MASK] who she missed.,4.5717745,obj
It is [MASK] who she loves.,3.1165357,obj
It is [MASK] who she likes.,4.499142,obj
It is [MASK] who she injured.,5.030813,obj
It is [MASK] who she hurt.,3.4534438,obj
It is [MASK] who she hit.,3.0293303,obj
It is [MASK] who she heard.,6.830703,obj
It is [MASK] who she hates.,3.9411902,obj
It is [MASK] who she greeted.,4.811227,obj
It is [MASK] who she found.,4.1270323,obj
It is [MASK] who she feared.,3.8656514,obj
It is [MASK] who she drew.,4.809573,obj
It is [MASK] who she called.,4.633308,obj
It is [MASK] who she avoided.,4.366442,obj
It is [MASK] who she advised.,5.0263133,obj
It is [MASK] who she admired.,3.8273575,obj
It was [MASK] that she wanted.,14.898924,obj
It was [MASK] that she valued.,16.714783,obj
It was [MASK] that she trusted.,14.45934,obj
It was [MASK] that she told.,10.460541,obj
It was [MASK] that she taught.,9.501916,obj
