sen,sur,comp
It is [MASK] that feared her.,7.486119,that
It is [MASK] that feared her.,17.026474,that
It is [MASK] that feared her.,5.10307,that
It is [MASK] that feared her.,4.4236107,that
It is [MASK] that feared him.,5.4709764,that
It is [MASK] that feared him.,4.9970417,that
It is [MASK] that found her.,6.277677,that
It is [MASK] that found her.,2.9779053,that
It is [MASK] that found her.,6.8204885,that
It is [MASK] that found her.,5.0939693,that
It is [MASK] that found her.,6.1161704,that
It is [MASK] that found her.,16.384197,that
It is [MASK] that found her.,6.13317,that
It is [MASK] that found her.,3.5970402,that
It is [MASK] that found him.,5.2040277,that
It is [MASK] that found him.,4.517641,that
It is [MASK] that greeted her.,10.383642,that
It is [MASK] that greeted her.,5.060114,that
It is [MASK] that greeted her.,8.598811,that
It is [MASK] that greeted her.,4.634448,that
It is [MASK] that greeted her.,11.656681,that
It is [MASK] that greeted her.,15.349975,that
It is [MASK] that greeted her.,9.157445,that
It is [MASK] that greeted her.,3.9559076,that
It is [MASK] that greeted him.,4.9853826,that
It is [MASK] that greeted him.,4.1275144,that
It is [MASK] that hate her.,6.336705,that
It is [MASK] that hate her.,2.9955223,that
It is [MASK] that hate her.,6.6285696,that
It is [MASK] that hate her.,3.176565,that
It is [MASK] that hates her.,2.2743316,that
It is [MASK] that hates her.,3.6542935,that
It is [MASK] that hates her.,15.510018,that
It is [MASK] that hates her.,4.866594,that
It is [MASK] that hates him.,3.5220287,that
It is [MASK] that hates him.,3.9970927,that
It is [MASK] that he admired.,4.2493234,that
It is [MASK] that he admired.,6.251186,that
It is [MASK] that he advised.,7.1948223,that
It is [MASK] that he advised.,9.569543,that
It is [MASK] that he avoided.,7.131406,that
It is [MASK] that he avoided.,9.808986,that
It is [MASK] that he called.,8.607972,that
It is [MASK] that he called.,11.522717,that
It is [MASK] that he drew.,5.6404195,that
It is [MASK] that he drew.,9.464394,that
It is [MASK] that he feared.,4.2152047,that
It is [MASK] that he feared.,6.6287518,that
It is [MASK] that he found.,5.0642548,that
It is [MASK] that he found.,7.851434,that
It is [MASK] that he greeted.,3.808601,that
It is [MASK] that he greeted.,5.946605,that
It is [MASK] that he hates.,3.6891012,that
It is [MASK] that he hates.,6.9680963,that
It is [MASK] that he heard.,7.938594,that
It is [MASK] that he heard.,10.705918,that
It is [MASK] that he hit.,4.031176,that
It is [MASK] that he hit.,9.136232,that
It is [MASK] that he hurt.,5.1055293,that
It is [MASK] that he hurt.,10.588895,that
It is [MASK] that he injured.,10.712135,that
It is [MASK] that he injured.,14.943494,that
It is [MASK] that he likes.,4.130953,that
It is [MASK] that he likes.,7.6011443,that
It is [MASK] that he loves.,1.8225483,that
It is [MASK] that he loves.,4.8315907,that
It is [MASK] that he missed.,4.4577327,that
It is [MASK] that he missed.,7.7346373,that
It is [MASK] that he needed.,5.774468,that
It is [MASK] that he needed.,9.013596,that
It is [MASK] that he noticed.,9.46192,that
It is [MASK] that he noticed.,11.330197,that
It is [MASK] that he painted.,10.1673975,that
It is [MASK] that he painted.,14.461117,that
It is [MASK] that he praised.,4.765108,that
It is [MASK] that he praised.,6.280717,that
It is [MASK] that he pressed.,7.7406034,that
It is [MASK] that he pressed.,10.638304,that
It is [MASK] that he pulled.,5.2167897,that
It is [MASK] that he pulled.,8.862015,that
It is [MASK] that he pushed.,6.451058,that
It is [MASK] that he pushed.,10.664704,that
It is [MASK] that he respected.,4.5618215,that
It is [MASK] that he respected.,6.435045,that
It is [MASK] that he saw.,4.678795,that
It is [MASK] that he saw.,7.5299315,that
It is [MASK] that he sent.,4.4567013,that
It is [MASK] that he sent.,6.659176,that
It is [MASK] that he stroke.,7.535895,that
It is [MASK] that he stroke.,9.891504,that
It is [MASK] that he taught.,7.75719,that
It is [MASK] that he taught.,9.862149,that
It is [MASK] that he told.,6.360294,that
It is [MASK] that he told.,7.0257006,that
It is [MASK] that he trusted.,4.144735,that
It is [MASK] that he trusted.,4.9625764,that
It is [MASK] that he valued.,4.808812,that
It is [MASK] that he valued.,7.25071,that
It is [MASK] that he wanted.,3.8384316,that
It is [MASK] that he wanted.,7.293084,that
It is [MASK] that heard her.,8.474512,that
It is [MASK] that heard her.,3.0767608,that
It is [MASK] that heard her.,7.7845078,that
It is [MASK] that heard her.,5.181982,that
It is [MASK] that heard her.,7.942706,that
It is [MASK] that heard her.,15.540407,that
It is [MASK] that heard her.,6.74601,that
It is [MASK] that heard her.,2.595624,that
It is [MASK] that heard him.,5.8586297,that
It is [MASK] that heard him.,3.9038033,that
It is [MASK] that hit her.,10.605125,that
It is [MASK] that hit her.,3.3239686,that
It is [MASK] that hit her.,7.873568,that
It is [MASK] that hit her.,3.4746866,that
It is [MASK] that hit her.,14.8337755,that
It is [MASK] that hit her.,14.900506,that
It is [MASK] that hit her.,11.848415,that
It is [MASK] that hit her.,7.11886,that
It is [MASK] that hit him.,3.908318,that
It is [MASK] that hit him.,6.2890463,that
It is [MASK] that hurt her.,8.522377,that
It is [MASK] that hurt her.,2.0275753,that
It is [MASK] that hurt her.,7.9468756,that
It is [MASK] that hurt her.,3.478521,that
It is [MASK] that hurt her.,10.730038,that
It is [MASK] that hurt her.,15.974181,that
It is [MASK] that hurt her.,10.051277,that
It is [MASK] that hurt her.,5.260546,that
It is [MASK] that hurt him.,3.4576273,that
It is [MASK] that hurt him.,5.575693,that
It is [MASK] that injured her.,8.6496105,that
It is [MASK] that injured her.,3.1905982,that
It is [MASK] that injured her.,8.68088,that
It is [MASK] that injured her.,4.4430356,that
It is [MASK] that injured her.,9.797717,that
It is [MASK] that injured her.,14.533841,that
It is [MASK] that injured her.,9.175488,that
It is [MASK] that injured her.,3.6462586,that
It is [MASK] that injured him.,4.775187,that
It is [MASK] that injured him.,4.943565,that
It is [MASK] that like her.,14.757631,that
It is [MASK] that like her.,14.950434,that
It is [MASK] that like her.,12.584634,that
It is [MASK] that like her.,13.727677,that
It is [MASK] that likes her.,3.122147,that
It is [MASK] that likes her.,2.909464,that
It is [MASK] that likes her.,16.30985,that
It is [MASK] that likes her.,3.5433168,that
It is [MASK] that likes him.,3.1587257,that
It is [MASK] that likes him.,3.2188146,that
It is [MASK] that love her.,6.602009,that
It is [MASK] that love her.,4.4669933,that
It is [MASK] that love her.,4.835482,that
It is [MASK] that love her.,3.0485866,that
It is [MASK] that loves her.,3.7233918,that
It is [MASK] that loves her.,3.2332942,that
It is [MASK] that loves her.,15.483134,that
It is [MASK] that loves her.,2.4952478,that
It is [MASK] that loves him.,3.1920552,that
It is [MASK] that loves him.,2.4385107,that
It is [MASK] that missed her.,7.9091897,that
It is [MASK] that missed her.,1.7544998,that
It is [MASK] that missed her.,7.8549094,that
It is [MASK] that missed her.,3.812037,that
It is [MASK] that missed her.,8.2331505,that
It is [MASK] that missed her.,15.479618,that
It is [MASK] that missed her.,8.945023,that
It is [MASK] that missed her.,4.025034,that
It is [MASK] that missed him.,4.9849577,that
It is [MASK] that missed him.,4.9676967,that
It is [MASK] that needed her.,5.711776,that
It is [MASK] that needed her.,3.064804,that
It is [MASK] that needed her.,5.7628665,that
It is [MASK] that needed her.,4.8612647,that
It is [MASK] that needed her.,6.644846,that
It is [MASK] that needed her.,15.802186,that
It is [MASK] that needed her.,6.9170446,that
It is [MASK] that needed her.,5.084365,that
It is [MASK] that needed him.,4.546732,that
It is [MASK] that needed him.,4.955152,that
It is [MASK] that noticed her.,8.729138,that
It is [MASK] that noticed her.,3.7971117,that
It is [MASK] that noticed her.,7.2648005,that
It is [MASK] that noticed her.,4.695996,that
It is [MASK] that noticed her.,8.960454,that
It is [MASK] that noticed her.,16.143255,that
It is [MASK] that noticed her.,7.1987176,that
It is [MASK] that noticed her.,3.6625257,that
It is [MASK] that noticed him.,5.281388,that
It is [MASK] that noticed him.,4.024888,that
It is [MASK] that painted her.,7.9940057,that
It is [MASK] that painted her.,3.6146183,that
It is [MASK] that painted her.,7.361387,that
It is [MASK] that painted her.,5.121693,that
It is [MASK] that painted her.,8.921982,that
It is [MASK] that painted her.,16.027643,that
It is [MASK] that painted her.,7.121539,that
It is [MASK] that painted her.,4.2543435,that
It is [MASK] that painted him.,5.12186,that
It is [MASK] that painted him.,4.55749,that
It is [MASK] that praised her.,8.823345,that
It is [MASK] that praised her.,6.505587,that
It is [MASK] that praised her.,6.58561,that
It is [MASK] that praised her.,4.983531,that
It is [MASK] that praised her.,8.138935,that
It is [MASK] that praised her.,16.00865,that
It is [MASK] that praised her.,5.321138,that
It is [MASK] that praised her.,3.1777222,that
It is [MASK] that praised him.,7.037526,that
It is [MASK] that praised him.,5.6454077,that
It is [MASK] that pressed her.,11.866315,that
It is [MASK] that pressed her.,5.458409,that
It is [MASK] that pressed her.,9.036891,that
It is [MASK] that pressed her.,4.988744,that
It is [MASK] that pressed her.,13.381715,that
It is [MASK] that pressed her.,16.673088,that
It is [MASK] that pressed her.,9.840629,that
It is [MASK] that pressed her.,4.97962,that
It is [MASK] that pressed him.,4.4248967,that
It is [MASK] that pressed him.,4.510515,that
It is [MASK] that pulled her.,8.572454,that
It is [MASK] that pulled her.,2.9866724,that
It is [MASK] that pulled her.,7.771513,that
It is [MASK] that pulled her.,4.2168856,that
It is [MASK] that pulled her.,10.1013365,that
It is [MASK] that pulled her.,16.14064,that
It is [MASK] that pulled her.,8.5454445,that
It is [MASK] that pulled her.,4.8527384,that
It is [MASK] that pulled him.,3.9965312,that
It is [MASK] that pulled him.,4.746242,that
It is [MASK] that pushed her.,7.8125887,that
It is [MASK] that pushed her.,2.6156242,that
It is [MASK] that pushed her.,7.9252863,that
It is [MASK] that pushed her.,4.3328123,that
It is [MASK] that pushed her.,8.593121,that
It is [MASK] that pushed her.,16.120192,that
It is [MASK] that pushed her.,7.8392453,that
It is [MASK] that pushed her.,3.7340825,that
It is [MASK] that pushed him.,4.0468693,that
It is [MASK] that pushed him.,3.6730497,that
It is [MASK] that respected her.,6.762957,that
It is [MASK] that respected her.,3.5371137,that
It is [MASK] that respected her.,4.585801,that
It is [MASK] that respected her.,4.2411146,that
It is [MASK] that respected her.,6.4460707,that
It is [MASK] that respected her.,17.377634,that
It is [MASK] that respected her.,4.3498797,that
It is [MASK] that respected her.,3.315496,that
It is [MASK] that respected him.,5.8304615,that
It is [MASK] that respected him.,4.731511,that
It is [MASK] that saw her.,6.5977616,that
It is [MASK] that saw her.,2.3817363,that
It is [MASK] that saw her.,6.4462414,that
It is [MASK] that saw her.,4.2797966,that
It is [MASK] that saw her.,7.2922497,that
It is [MASK] that saw her.,16.314703,that
It is [MASK] that saw her.,6.75746,that
It is [MASK] that saw her.,3.5434961,that
It is [MASK] that saw him.,5.4998217,that
It is [MASK] that saw him.,4.872341,that
It is [MASK] that sent her.,7.601982,that
It is [MASK] that sent her.,2.7869408,that
It is [MASK] that sent her.,8.578308,that
It is [MASK] that sent her.,5.4006767,that
It is [MASK] that sent her.,7.4646626,that
It is [MASK] that sent her.,15.88919,that
It is [MASK] that sent her.,8.016492,that
It is [MASK] that sent her.,3.4996862,that
It is [MASK] that sent him.,5.498507,that
It is [MASK] that sent him.,4.2463026,that
It is [MASK] that she admired.,9.143005,that
It is [MASK] that she admired.,4.005437,that
It is [MASK] that she admired.,7.249606,that
It is [MASK] that she admired.,2.7740262,that
It is [MASK] that she admired.,11.675766,that
It is [MASK] that she admired.,16.628788,that
It is [MASK] that she admired.,10.279106,that
It is [MASK] that she admired.,4.584175,that
It is [MASK] that she advised.,7.9308743,that
It is [MASK] that she advised.,3.788304,that
It is [MASK] that she advised.,7.2983127,that
It is [MASK] that she advised.,4.8613377,that
It is [MASK] that she advised.,8.855777,that
It is [MASK] that she advised.,15.744676,that
It is [MASK] that she advised.,10.005766,that
It is [MASK] that she advised.,6.238391,that
It is [MASK] that she avoided.,9.355832,that
It is [MASK] that she avoided.,5.113446,that
It is [MASK] that she avoided.,7.9291635,that
It is [MASK] that she avoided.,5.1405244,that
It is [MASK] that she avoided.,10.902455,that
It is [MASK] that she avoided.,16.392614,that
It is [MASK] that she avoided.,10.698253,that
It is [MASK] that she avoided.,7.4825006,that
It is [MASK] that she called.,13.193451,that
It is [MASK] that she called.,8.82034,that
It is [MASK] that she called.,11.383409,that
It is [MASK] that she called.,9.398876,that
It is [MASK] that she called.,13.991395,that
It is [MASK] that she called.,17.490137,that
It is [MASK] that she called.,14.334065,that
It is [MASK] that she called.,11.200975,that
It is [MASK] that she drew.,8.952933,that
It is [MASK] that she drew.,4.2667737,that
It is [MASK] that she drew.,7.749156,that
It is [MASK] that she drew.,4.378578,that
It is [MASK] that she drew.,11.129246,that
It is [MASK] that she drew.,14.960436,that
It is [MASK] that she drew.,11.049296,that
It is [MASK] that she drew.,6.9945264,that
It is [MASK] that she feared.,7.113661,that
It is [MASK] that she feared.,2.9975262,that
It is [MASK] that she feared.,6.6419992,that
It is [MASK] that she feared.,2.591096,that
It is [MASK] that she feared.,10.685464,that
It is [MASK] that she feared.,15.823827,that
It is [MASK] that she feared.,9.938374,that
It is [MASK] that she feared.,5.3076844,that
It is [MASK] that she found.,8.565044,that
It is [MASK] that she found.,5.602371,that
It is [MASK] that she found.,7.1639647,that
It is [MASK] that she found.,4.600485,that
It is [MASK] that she found.,11.335646,that
It is [MASK] that she found.,14.209595,that
It is [MASK] that she found.,10.275625,that
It is [MASK] that she found.,6.5473857,that
It is [MASK] that she greeted.,7.450824,that
It is [MASK] that she greeted.,2.7738912,that
It is [MASK] that she greeted.,7.422651,that
It is [MASK] that she greeted.,2.7482858,that
It is [MASK] that she greeted.,9.628784,that
It is [MASK] that she greeted.,15.119615,that
It is [MASK] that she greeted.,10.018199,that
It is [MASK] that she greeted.,4.5790634,that
It is [MASK] that she hates.,8.147705,that
It is [MASK] that she hates.,2.7817118,that
It is [MASK] that she hates.,7.0095544,that
It is [MASK] that she hates.,2.975833,that
It is [MASK] that she hates.,12.432867,that
It is [MASK] that she hates.,15.096654,that
It is [MASK] that she hates.,11.3992195,that
It is [MASK] that she hates.,6.295529,that
It is [MASK] that she heard.,11.836265,that
It is [MASK] that she heard.,7.887234,that
It is [MASK] that she heard.,10.016829,that
It is [MASK] that she heard.,7.1428103,that
It is [MASK] that she heard.,13.570533,that
It is [MASK] that she heard.,16.77714,that
It is [MASK] that she heard.,12.413978,that
It is [MASK] that she heard.,9.123697,that
It is [MASK] that she hit.,8.382532,that
It is [MASK] that she hit.,4.326324,that
It is [MASK] that she hit.,7.098721,that
It is [MASK] that she hit.,3.6984541,that
It is [MASK] that she hit.,12.088363,that
It is [MASK] that she hit.,14.809435,that
It is [MASK] that she hit.,11.845468,that
It is [MASK] that she hit.,8.485381,that
It is [MASK] that she hurt.,11.424926,that
It is [MASK] that she hurt.,6.818307,that
It is [MASK] that she hurt.,9.549785,that
It is [MASK] that she hurt.,5.7608275,that
It is [MASK] that she hurt.,13.713206,that
It is [MASK] that she hurt.,16.058847,that
It is [MASK] that she hurt.,13.667255,that
It is [MASK] that she hurt.,10.3030205,that
It is [MASK] that she injured.,12.925549,that
It is [MASK] that she injured.,10.3023405,that
It is [MASK] that she injured.,11.206365,that
It is [MASK] that she injured.,8.238694,that
It is [MASK] that she injured.,14.816763,that
It is [MASK] that she injured.,15.801677,that
It is [MASK] that she injured.,14.30418,that
It is [MASK] that she injured.,11.366505,that
It is [MASK] that she likes.,9.982228,that
It is [MASK] that she likes.,3.8892002,that
It is [MASK] that she likes.,8.659527,that
It is [MASK] that she likes.,4.289245,that
It is [MASK] that she likes.,12.826564,that
It is [MASK] that she likes.,15.764048,that
It is [MASK] that she likes.,12.811116,that
It is [MASK] that she likes.,7.0457087,that
It is [MASK] that she loves.,7.6916113,that
It is [MASK] that she loves.,3.3942232,that
It is [MASK] that she loves.,7.1662135,that
It is [MASK] that she loves.,2.02216,that
It is [MASK] that she loves.,11.707725,that
It is [MASK] that she loves.,15.188136,that
It is [MASK] that she loves.,11.121019,that
It is [MASK] that she loves.,4.70407,that
It is [MASK] that she missed.,9.909613,that
It is [MASK] that she missed.,4.8267937,that
It is [MASK] that she missed.,8.153163,that
It is [MASK] that she missed.,3.6426883,that
It is [MASK] that she missed.,13.070164,that
It is [MASK] that she missed.,15.742194,that
It is [MASK] that she missed.,11.716808,that
It is [MASK] that she missed.,6.8183684,that
It is [MASK] that she needed.,8.430188,that
It is [MASK] that she needed.,3.9375787,that
It is [MASK] that she needed.,9.279505,that
It is [MASK] that she needed.,4.68933,that
It is [MASK] that she needed.,10.855764,that
It is [MASK] that she needed.,17.695183,that
It is [MASK] that she needed.,12.691558,that
It is [MASK] that she needed.,7.5839944,that
It is [MASK] that she noticed.,13.799293,that
It is [MASK] that she noticed.,8.959895,that
It is [MASK] that she noticed.,11.794426,that
It is [MASK] that she noticed.,8.18456,that
It is [MASK] that she noticed.,15.002139,that
It is [MASK] that she noticed.,17.744602,that
It is [MASK] that she noticed.,14.458548,that
It is [MASK] that she noticed.,10.024305,that
It is [MASK] that she painted.,9.316274,that
It is [MASK] that she painted.,7.5151052,that
It is [MASK] that she painted.,9.4372635,that
It is [MASK] that she painted.,7.0148554,that
It is [MASK] that she painted.,13.05966,that
It is [MASK] that she painted.,14.095882,that
It is [MASK] that she painted.,12.990458,that
It is [MASK] that she painted.,9.743755,that
It is [MASK] that she praised.,9.154148,that
It is [MASK] that she praised.,5.317024,that
It is [MASK] that she praised.,7.0345993,that
It is [MASK] that she praised.,3.7215974,that
It is [MASK] that she praised.,10.681058,that
It is [MASK] that she praised.,15.168244,that
It is [MASK] that she praised.,8.773069,that
It is [MASK] that she praised.,4.3293858,that
It is [MASK] that she pressed.,12.09975,that
It is [MASK] that she pressed.,7.1972847,that
It is [MASK] that she pressed.,10.642355,that
It is [MASK] that she pressed.,8.10698,that
It is [MASK] that she pressed.,13.652034,that
It is [MASK] that she pressed.,16.481138,that
It is [MASK] that she pressed.,13.62797,that
It is [MASK] that she pressed.,9.603966,that
It is [MASK] that she pulled.,9.317778,that
It is [MASK] that she pulled.,4.2849817,that
It is [MASK] that she pulled.,8.097204,that
It is [MASK] that she pulled.,4.788919,that
It is [MASK] that she pulled.,11.789986,that
It is [MASK] that she pulled.,15.8910675,that
It is [MASK] that she pulled.,11.592212,that
It is [MASK] that she pulled.,7.6581373,that
It is [MASK] that she pushed.,9.8310175,that
It is [MASK] that she pushed.,4.563174,that
It is [MASK] that she pushed.,8.997731,that
It is [MASK] that she pushed.,5.59151,that
It is [MASK] that she pushed.,11.320513,that
It is [MASK] that she pushed.,16.148798,that
It is [MASK] that she pushed.,12.66392,that
It is [MASK] that she pushed.,8.949779,that
It is [MASK] that she respected.,8.289633,that
It is [MASK] that she respected.,3.8240554,that
It is [MASK] that she respected.,6.8596373,that
It is [MASK] that she respected.,2.671056,that
It is [MASK] that she respected.,10.455756,that
It is [MASK] that she respected.,17.606731,that
It is [MASK] that she respected.,9.464905,that
It is [MASK] that she respected.,4.2735734,that
It is [MASK] that she saw.,8.666332,that
It is [MASK] that she saw.,4.514027,that
It is [MASK] that she saw.,7.4109163,that
It is [MASK] that she saw.,3.8761353,that
It is [MASK] that she saw.,11.19741,that
It is [MASK] that she saw.,14.901601,that
It is [MASK] that she saw.,10.616208,that
It is [MASK] that she saw.,6.858465,that
It is [MASK] that she sent.,6.977671,that
It is [MASK] that she sent.,1.7965969,that
It is [MASK] that she sent.,7.3036346,that
It is [MASK] that she sent.,4.1519423,that
It is [MASK] that she sent.,8.976518,that
It is [MASK] that she sent.,14.4848175,that
It is [MASK] that she sent.,10.434108,that
It is [MASK] that she sent.,5.894776,that
It is [MASK] that she stroke.,11.697267,that
It is [MASK] that she stroke.,6.9766564,that
It is [MASK] that she stroke.,9.152413,that
It is [MASK] that she stroke.,6.8173313,that
It is [MASK] that she stroke.,12.243088,that
It is [MASK] that she stroke.,15.821305,that
It is [MASK] that she stroke.,11.686955,that
It is [MASK] that she stroke.,8.64709,that
It is [MASK] that she taught.,7.638094,that
It is [MASK] that she taught.,4.3470926,that
It is [MASK] that she taught.,7.6373296,that
It is [MASK] that she taught.,6.5715075,that
It is [MASK] that she taught.,8.207256,that
It is [MASK] that she taught.,14.995392,that
It is [MASK] that she taught.,9.904151,that
It is [MASK] that she taught.,7.452048,that
It is [MASK] that she told.,8.867554,that
It is [MASK] that she told.,4.6940475,that
It is [MASK] that she told.,7.889306,that
It is [MASK] that she told.,5.6870537,that
It is [MASK] that she told.,8.927096,that
It is [MASK] that she told.,15.36156,that
It is [MASK] that she told.,9.282781,that
It is [MASK] that she told.,6.0532503,that
It is [MASK] that she trusted.,7.9453845,that
It is [MASK] that she trusted.,3.7756503,that
It is [MASK] that she trusted.,6.7296906,that
It is [MASK] that she trusted.,2.2029462,that
It is [MASK] that she trusted.,9.882556,that
It is [MASK] that she trusted.,16.949738,that
It is [MASK] that she trusted.,8.787928,that
It is [MASK] that she trusted.,3.4358308,that
It is [MASK] that she valued.,9.472766,that
It is [MASK] that she valued.,4.6659274,that
It is [MASK] that she valued.,7.839628,that
It is [MASK] that she valued.,4.1798844,that
It is [MASK] that she valued.,12.098286,that
It is [MASK] that she valued.,18.00854,that
It is [MASK] that she valued.,11.412581,that
It is [MASK] that she valued.,6.172381,that
It is [MASK] that she wanted.,7.9290643,that
It is [MASK] that she wanted.,2.8946726,that
It is [MASK] that she wanted.,8.380672,that
It is [MASK] that she wanted.,3.406001,that
It is [MASK] that she wanted.,10.88873,that
It is [MASK] that she wanted.,16.680262,that
It is [MASK] that she wanted.,12.114492,that
It is [MASK] that she wanted.,6.3157454,that
It is [MASK] that stroke her.,10.739585,that
It is [MASK] that stroke her.,7.7298627,that
It is [MASK] that stroke her.,6.7814384,that
It is [MASK] that stroke her.,8.638024,that
It is [MASK] that stroke her.,9.645494,that
It is [MASK] that stroke her.,16.156368,that
It is [MASK] that stroke her.,4.8948927,that
It is [MASK] that stroke her.,9.517348,that
It is [MASK] that stroke him.,6.953679,that
It is [MASK] that stroke him.,9.799626,that
It is [MASK] that taught her.,7.5715914,that
It is [MASK] that taught her.,3.0610793,that
It is [MASK] that taught her.,7.5916963,that
It is [MASK] that taught her.,4.4967003,that
It is [MASK] that taught her.,8.397765,that
It is [MASK] that taught her.,16.250187,that
It is [MASK] that taught her.,7.8313837,that
It is [MASK] that taught her.,4.017793,that
It is [MASK] that taught him.,4.760417,that
It is [MASK] that taught him.,4.9669075,that
It is [MASK] that told her.,9.623838,that
It is [MASK] that told her.,3.4747856,that
It is [MASK] that told her.,8.0782,that
It is [MASK] that told her.,4.255976,that
It is [MASK] that told her.,10.070677,that
It is [MASK] that told her.,15.231476,that
It is [MASK] that told her.,8.341158,that
It is [MASK] that told her.,3.7224522,that
It is [MASK] that told him.,4.466286,that
It is [MASK] that told him.,4.073735,that
It is [MASK] that trusted her.,6.488405,that
It is [MASK] that trusted her.,2.847469,that
It is [MASK] that trusted her.,5.769345,that
It is [MASK] that trusted her.,4.666931,that
It is [MASK] that trusted her.,6.265554,that
It is [MASK] that trusted her.,16.397963,that
It is [MASK] that trusted her.,5.332178,that
It is [MASK] that trusted her.,3.4526985,that
It is [MASK] that trusted him.,5.7894955,that
It is [MASK] that trusted him.,4.6492434,that
It is [MASK] that valued her.,7.227688,that
It is [MASK] that valued her.,3.496072,that
It is [MASK] that valued her.,6.0098104,that
It is [MASK] that valued her.,4.012636,that
It is [MASK] that valued her.,7.1046023,that
It is [MASK] that valued her.,17.444843,that
It is [MASK] that valued her.,5.674739,that
It is [MASK] that valued her.,2.637833,that
It is [MASK] that valued him.,5.10839,that
It is [MASK] that valued him.,4.1096,that
It is [MASK] that wanted her.,7.248701,that
It is [MASK] that wanted her.,3.017475,that
It is [MASK] that wanted her.,5.7640753,that
It is [MASK] that wanted her.,2.6914911,that
It is [MASK] that wanted her.,9.465639,that
It is [MASK] that wanted her.,16.112766,that
It is [MASK] that wanted her.,7.631216,that
It is [MASK] that wanted her.,3.5908499,that
It is [MASK] that wanted him.,3.5344121,that
It is [MASK] that wanted him.,4.277791,that
It was [MASK] that admired her.,11.237424,that
It was [MASK] that admired her.,3.5017712,that
It was [MASK] that admired her.,7.5542684,that
It was [MASK] that admired her.,2.2790384,that
It was [MASK] that admired her.,13.381596,that
It was [MASK] that admired her.,18.206156,that
It was [MASK] that admired her.,9.782047,that
It was [MASK] that admired her.,3.4007018,that
It was [MASK] that admired him.,2.6151872,that
It was [MASK] that admired him.,2.8236833,that
It was [MASK] that advised her.,10.909344,that
It was [MASK] that advised her.,4.405525,that
It was [MASK] that advised her.,8.387925,that
It was [MASK] that advised her.,4.3836846,that
It was [MASK] that advised her.,12.423758,that
It was [MASK] that advised her.,16.210331,that
It was [MASK] that advised her.,9.549619,that
It was [MASK] that advised her.,3.8633933,that
It was [MASK] that advised him.,4.627914,that
It was [MASK] that advised him.,4.264951,that
It was [MASK] that avoided her.,8.209048,that
It was [MASK] that avoided her.,3.8097649,that
It was [MASK] that avoided her.,5.4266605,that
It was [MASK] that avoided her.,3.111794,that
It was [MASK] that avoided her.,10.063102,that
It was [MASK] that avoided her.,17.094316,that
It was [MASK] that avoided her.,6.4872036,that
It was [MASK] that avoided her.,3.212884,that
It was [MASK] that avoided him.,3.9318478,that
It was [MASK] that avoided him.,3.4566953,that
It was [MASK] that called her.,9.753508,that
It was [MASK] that called her.,3.621859,that
It was [MASK] that called her.,6.2039433,that
It was [MASK] that called her.,2.6157587,that
It was [MASK] that called her.,13.517783,that
It was [MASK] that called her.,14.939941,that
It was [MASK] that called her.,9.749482,that
It was [MASK] that called her.,5.6292715,that
It was [MASK] that called him.,2.8308017,that
It was [MASK] that called him.,5.2376785,that
