sen,sur,case
It was she [MASK] called him.,3.779295,NOM
It was she [MASK] called him.,0.12892622,NOM
It is he [MASK] drew her.,2.395406,NOM
It is he [MASK] drew her.,0.3145303,NOM
It is I [MASK] drew her.,1.5586741,NOM
It is I [MASK] drew her.,0.6179168,NOM
It is they [MASK] drew her.,0.91288066,NOM
It is they [MASK] drew her.,1.167177,NOM
It is we [MASK] drew her.,0.77400523,NOM
It is we [MASK] drew her.,1.3821261,NOM
It was he [MASK] drew her.,1.7181151,NOM
It was he [MASK] drew her.,0.5294343,NOM
It was I [MASK] drew her.,1.2853065,NOM
It was I [MASK] drew her.,0.77257264,NOM
It was they [MASK] drew her.,0.7316055,NOM
It was they [MASK] drew her.,1.370602,NOM
It was we [MASK] drew her.,0.7044138,NOM
It was we [MASK] drew her.,1.4305755,NOM
It is she [MASK] drew him.,1.7393577,NOM
It is she [MASK] drew him.,0.53935635,NOM
It was she [MASK] drew him.,1.7148753,NOM
It was she [MASK] drew him.,0.533569,NOM
It is he [MASK] feared her.,2.6826172,NOM
It is he [MASK] feared her.,0.25385055,NOM
It is I [MASK] feared her.,2.2923927,NOM
It is I [MASK] feared her.,0.3760039,NOM
It is they [MASK] feared her.,1.8574979,NOM
It is they [MASK] feared her.,0.48951072,NOM
It is we [MASK] feared her.,1.9968771,NOM
It is we [MASK] feared her.,0.4749763,NOM
It was he [MASK] feared her.,2.843534,NOM
It was he [MASK] feared her.,0.21835214,NOM
It was I [MASK] feared her.,2.6928442,NOM
It was I [MASK] feared her.,0.24739517,NOM
It was they [MASK] feared her.,2.1998355,NOM
It was they [MASK] feared her.,0.35952058,NOM
It was we [MASK] feared her.,2.5395694,NOM
It was we [MASK] feared her.,0.28075334,NOM
It is she [MASK] feared him.,2.796859,NOM
It is she [MASK] feared him.,0.2368848,NOM
It was she [MASK] feared him.,3.462958,NOM
It was she [MASK] feared him.,0.13910598,NOM
It is he [MASK] found her.,3.6148858,NOM
It is he [MASK] found her.,0.12844543,NOM
It is I [MASK] found her.,2.624638,NOM
It is I [MASK] found her.,0.27976462,NOM
It is they [MASK] found her.,1.8096449,NOM
It is they [MASK] found her.,0.5352136,NOM
It is we [MASK] found her.,1.3352381,NOM
It is we [MASK] found her.,0.8182266,NOM
It was he [MASK] found her.,3.2759907,NOM
It was he [MASK] found her.,0.16046315,NOM
It was I [MASK] found her.,2.6452973,NOM
It was I [MASK] found her.,0.256318,NOM
It was they [MASK] found her.,2.0914745,NOM
It was they [MASK] found her.,0.39529216,NOM
It was we [MASK] found her.,1.5958533,NOM
It was we [MASK] found her.,0.59630954,NOM
It is she [MASK] found him.,3.1056538,NOM
It is she [MASK] found him.,0.18823658,NOM
It was she [MASK] found him.,2.806397,NOM
It was she [MASK] found him.,0.22858328,NOM
It is he [MASK] greeted her.,3.4729805,NOM
It is he [MASK] greeted her.,0.14318715,NOM
It is I [MASK] greeted her.,3.287103,NOM
It is I [MASK] greeted her.,0.16833517,NOM
It is they [MASK] greeted her.,1.8506345,NOM
It is they [MASK] greeted her.,0.49895263,NOM
It is we [MASK] greeted her.,2.175805,NOM
It is we [MASK] greeted her.,0.4351975,NOM
It was he [MASK] greeted her.,4.1539927,NOM
It was he [MASK] greeted her.,0.08522994,NOM
It was I [MASK] greeted her.,4.594872,NOM
It was I [MASK] greeted her.,0.06260337,NOM
It was they [MASK] greeted her.,2.5582485,NOM
It was they [MASK] greeted her.,0.2749835,NOM
It was we [MASK] greeted her.,3.6357224,NOM
It was we [MASK] greeted her.,0.12649214,NOM
It is she [MASK] greeted him.,2.8948293,NOM
It is she [MASK] greeted him.,0.22461568,NOM
It was she [MASK] greeted him.,3.7294626,NOM
It was she [MASK] greeted him.,0.11726423,NOM
It is they [MASK] hate her.,1.9665636,NOM
It is they [MASK] hate her.,0.47590873,NOM
It is we [MASK] hate her.,1.8180705,NOM
It is we [MASK] hate her.,0.6593478,NOM
It was they [MASK] hate her.,2.0316272,NOM
It was they [MASK] hate her.,0.8451354,NOM
It was we [MASK] hate her.,2.0872748,NOM
It was we [MASK] hate her.,1.9244719,NOM
It is he [MASK] hates her.,2.886377,NOM
It is he [MASK] hates her.,0.21143061,NOM
It is I [MASK] hates her.,3.0697403,NOM
It is I [MASK] hates her.,0.18507396,NOM
It was he [MASK] hates her.,2.66679,NOM
It was he [MASK] hates her.,0.25162256,NOM
It was I [MASK] hates her.,2.6632729,NOM
It was I [MASK] hates her.,0.2538924,NOM
It is she [MASK] hates him.,2.74696,NOM
It is she [MASK] hates him.,0.23546001,NOM
It was she [MASK] hates him.,2.5545,NOM
It was she [MASK] hates him.,0.27398124,NOM
It is she [MASK] he admired.,0.3513036,NOM
It is she [MASK] he admired.,4.9383216,NOM
It was she [MASK] he admired.,0.10467712,NOM
It was she [MASK] he admired.,5.8519244,NOM
It is she [MASK] he advised.,7.619237,NOM
It is she [MASK] he advised.,10.623099,NOM
It was she [MASK] he advised.,5.4185066,NOM
It was she [MASK] he advised.,8.817046,NOM
It is she [MASK] he avoided.,0.9263711,NOM
It is she [MASK] he avoided.,2.7261503,NOM
It was she [MASK] he avoided.,0.548951,NOM
It was she [MASK] he avoided.,2.9729626,NOM
It is she [MASK] he called.,2.8833861,NOM
It is she [MASK] he called.,4.653078,NOM
It was she [MASK] he called.,1.5246556,NOM
It was she [MASK] he called.,3.2714944,NOM
It is she [MASK] he drew.,0.45534348,NOM
It is she [MASK] he drew.,4.412462,NOM
It was she [MASK] he drew.,0.25879484,NOM
It was she [MASK] he drew.,4.7885785,NOM
It is she [MASK] he feared.,0.5165456,NOM
It is she [MASK] he feared.,3.9471054,NOM
It was she [MASK] he feared.,0.41900808,NOM
It was she [MASK] he feared.,3.7618349,NOM
It is she [MASK] he found.,0.604538,NOM
It is she [MASK] he found.,2.885837,NOM
It was she [MASK] he found.,0.3180856,NOM
It was she [MASK] he found.,3.9221168,NOM
It is she [MASK] he greeted.,5.0363984,NOM
It is she [MASK] he greeted.,6.204141,NOM
It was she [MASK] he greeted.,2.0716453,NOM
It was she [MASK] he greeted.,1.2594442,NOM
It is she [MASK] he hates.,0.34210044,NOM
It is she [MASK] he hates.,3.3594797,NOM
It was she [MASK] he hates.,0.3213831,NOM
It was she [MASK] he hates.,2.9171984,NOM
It is she [MASK] he heard.,4.893451,NOM
It is she [MASK] he heard.,9.357358,NOM
It was she [MASK] he heard.,0.82213664,NOM
It was she [MASK] he heard.,5.460747,NOM
It is she [MASK] he hit.,2.2587693,NOM
It is she [MASK] he hit.,2.82622,NOM
It was she [MASK] he hit.,1.9859967,NOM
It was she [MASK] he hit.,2.466417,NOM
It is she [MASK] he hurt.,2.5276203,NOM
It is she [MASK] he hurt.,2.8592784,NOM
It was she [MASK] he hurt.,2.3423464,NOM
It was she [MASK] he hurt.,2.1141691,NOM
It is she [MASK] he injured.,2.634675,NOM
It is she [MASK] he injured.,1.5367186,NOM
It was she [MASK] he injured.,2.0599594,NOM
It was she [MASK] he injured.,1.6998402,NOM
It is she [MASK] he likes.,0.35574684,NOM
It is she [MASK] he likes.,4.6842103,NOM
It was she [MASK] he likes.,0.2472041,NOM
It was she [MASK] he likes.,4.709112,NOM
It is she [MASK] he loves.,0.4347045,NOM
It is she [MASK] he loves.,3.756186,NOM
It was she [MASK] he loves.,0.24402231,NOM
It was she [MASK] he loves.,3.7818666,NOM
It is she [MASK] he missed.,0.32823306,NOM
It is she [MASK] he missed.,4.2533135,NOM
It was she [MASK] he missed.,0.17685962,NOM
It was she [MASK] he missed.,4.4631004,NOM
It is she [MASK] he needed.,0.20766723,NOM
It is she [MASK] he needed.,5.553778,NOM
It was she [MASK] he needed.,0.030677952,NOM
It was she [MASK] he needed.,7.182864,NOM
It is she [MASK] he noticed.,3.3582828,NOM
It is she [MASK] he noticed.,6.9776187,NOM
It was she [MASK] he noticed.,0.90385205,NOM
It was she [MASK] he noticed.,3.7465189,NOM
It is she [MASK] he painted.,1.2322162,NOM
It is she [MASK] he painted.,3.2528143,NOM
It was she [MASK] he painted.,0.523371,NOM
It was she [MASK] he painted.,3.7646868,NOM
It is she [MASK] he praised.,0.9113803,NOM
It is she [MASK] he praised.,2.8720279,NOM
It was she [MASK] he praised.,0.4869181,NOM
It was she [MASK] he praised.,3.0522456,NOM
It is she [MASK] he pressed.,8.20358,NOM
It is she [MASK] he pressed.,9.817533,NOM
It was she [MASK] he pressed.,1.4942156,NOM
It was she [MASK] he pressed.,2.196964,NOM
It is she [MASK] he pulled.,0.74000293,NOM
It is she [MASK] he pulled.,3.3087907,NOM
It was she [MASK] he pulled.,0.7365911,NOM
It was she [MASK] he pulled.,2.8991451,NOM
It is she [MASK] he pushed.,1.5187384,NOM
It is she [MASK] he pushed.,3.8848042,NOM
It was she [MASK] he pushed.,1.1212721,NOM
It was she [MASK] he pushed.,2.2901897,NOM
It is she [MASK] he respected.,0.7073644,NOM
It is she [MASK] he respected.,3.5394797,NOM
It was she [MASK] he respected.,0.28948507,NOM
It was she [MASK] he respected.,4.229646,NOM
It is she [MASK] he saw.,0.798802,NOM
It is she [MASK] he saw.,4.369371,NOM
It was she [MASK] he saw.,0.33674476,NOM
It was she [MASK] he saw.,4.9974346,NOM
It is she [MASK] he sent.,10.362725,NOM
It is she [MASK] he sent.,13.783173,NOM
It was she [MASK] he sent.,5.5206213,NOM
It was she [MASK] he sent.,8.260898,NOM
It is she [MASK] he stroke.,1.6302291,NOM
It is she [MASK] he stroke.,3.715921,NOM
It was she [MASK] he stroke.,1.7755566,NOM
It was she [MASK] he stroke.,5.1258426,NOM
It is she [MASK] he taught.,1.396102,NOM
It is she [MASK] he taught.,2.806343,NOM
It was she [MASK] he taught.,0.48603863,NOM
It was she [MASK] he taught.,4.06042,NOM
It is she [MASK] he told.,4.7175922,NOM
It is she [MASK] he told.,7.5971284,NOM
It was she [MASK] he told.,2.5657833,NOM
It was she [MASK] he told.,4.687807,NOM
It is she [MASK] he trusted.,1.3851864,NOM
It is she [MASK] he trusted.,2.9166577,NOM
It was she [MASK] he trusted.,0.68290377,NOM
It was she [MASK] he trusted.,2.9523826,NOM
It is she [MASK] he valued.,0.21378492,NOM
It is she [MASK] he valued.,4.9750834,NOM
It was she [MASK] he valued.,0.06186536,NOM
It was she [MASK] he valued.,6.1957297,NOM
It is she [MASK] he wanted.,0.19281667,NOM
It is she [MASK] he wanted.,5.0919666,NOM
It was she [MASK] he wanted.,0.038139854,NOM
It was she [MASK] he wanted.,6.4104466,NOM
It is he [MASK] heard her.,2.9266284,NOM
It is he [MASK] heard her.,0.33151206,NOM
It is I [MASK] heard her.,2.5522118,NOM
It is I [MASK] heard her.,2.8233142,NOM
It is they [MASK] heard her.,1.9121826,NOM
It is they [MASK] heard her.,1.2457539,NOM
It is we [MASK] heard her.,2.7050524,NOM
It is we [MASK] heard her.,2.3393362,NOM
It was he [MASK] heard her.,2.697614,NOM
It was he [MASK] heard her.,0.2488356,NOM
It was I [MASK] heard her.,1.6901038,NOM
It was I [MASK] heard her.,0.5516461,NOM
It was they [MASK] heard her.,1.6096709,NOM
It was they [MASK] heard her.,0.6011908,NOM
It was we [MASK] heard her.,1.6765164,NOM
It was we [MASK] heard her.,0.5726272,NOM
It is she [MASK] heard him.,2.428228,NOM
It is she [MASK] heard him.,0.4978341,NOM
It was she [MASK] heard him.,2.4039662,NOM
It was she [MASK] heard him.,0.31658673,NOM
It is he [MASK] hit her.,1.977663,NOM
It is he [MASK] hit her.,0.44571316,NOM
It is I [MASK] hit her.,1.7101531,NOM
It is I [MASK] hit her.,0.6873199,NOM
It is they [MASK] hit her.,1.0928674,NOM
It is they [MASK] hit her.,0.9981132,NOM
It is we [MASK] hit her.,1.469811,NOM
It is we [MASK] hit her.,1.2557683,NOM
It was he [MASK] hit her.,2.118492,NOM
It was he [MASK] hit her.,0.3832007,NOM
It was I [MASK] hit her.,1.9935416,NOM
It was I [MASK] hit her.,0.42392203,NOM
It was they [MASK] hit her.,1.2889601,NOM
It was they [MASK] hit her.,0.7779295,NOM
It was we [MASK] hit her.,1.2961692,NOM
It was we [MASK] hit her.,0.7920439,NOM
It is she [MASK] hit him.,1.8104558,NOM
It is she [MASK] hit him.,0.5141318,NOM
It was she [MASK] hit him.,2.0425537,NOM
It was she [MASK] hit him.,0.40900904,NOM
It is he [MASK] hurt her.,2.6274242,NOM
It is he [MASK] hurt her.,0.27264756,NOM
It is I [MASK] hurt her.,1.9578303,NOM
It is I [MASK] hurt her.,0.5135861,NOM
It is they [MASK] hurt her.,1.638389,NOM
It is they [MASK] hurt her.,0.59672725,NOM
It is we [MASK] hurt her.,1.6511637,NOM
It is we [MASK] hurt her.,0.72445536,NOM
It was he [MASK] hurt her.,2.501857,NOM
It was he [MASK] hurt her.,0.2871994,NOM
It was I [MASK] hurt her.,1.6176218,NOM
It was I [MASK] hurt her.,0.5932491,NOM
It was they [MASK] hurt her.,1.841158,NOM
It was they [MASK] hurt her.,0.48452178,NOM
It was we [MASK] hurt her.,1.3908062,NOM
It was we [MASK] hurt her.,0.74019444,NOM
It is she [MASK] hurt him.,2.464445,NOM
It is she [MASK] hurt him.,0.32033467,NOM
It was she [MASK] hurt him.,2.315583,NOM
It was she [MASK] hurt him.,0.3361109,NOM
It is he [MASK] injured her.,3.1994152,NOM
It is he [MASK] injured her.,0.17730169,NOM
It is I [MASK] injured her.,1.9517132,NOM
It is I [MASK] injured her.,0.48341328,NOM
It is they [MASK] injured her.,1.427683,NOM
It is they [MASK] injured her.,0.7326268,NOM
It is we [MASK] injured her.,1.1696174,NOM
It is we [MASK] injured her.,1.0858055,NOM
It was he [MASK] injured her.,2.2368329,NOM
It was he [MASK] injured her.,0.34990397,NOM
It was I [MASK] injured her.,1.6564847,NOM
It was I [MASK] injured her.,0.5610404,NOM
It was they [MASK] injured her.,1.3809316,NOM
It was they [MASK] injured her.,0.7177321,NOM
It was we [MASK] injured her.,1.1914634,NOM
It was we [MASK] injured her.,0.8538779,NOM
It is she [MASK] injured him.,2.365761,NOM
It is she [MASK] injured him.,0.3339197,NOM
It was she [MASK] injured him.,1.6513546,NOM
It was she [MASK] injured him.,0.56587297,NOM
It is they [MASK] like her.,5.629084,NOM
It is they [MASK] like her.,4.365304,NOM
It is we [MASK] like her.,3.9971094,NOM
It is we [MASK] like her.,3.7399838,NOM
It was they [MASK] like her.,7.86051,NOM
It was they [MASK] like her.,6.401061,NOM
It was we [MASK] like her.,4.627191,NOM
It was we [MASK] like her.,4.7513885,NOM
It is he [MASK] likes her.,3.395399,NOM
It is he [MASK] likes her.,0.14678726,NOM
It is I [MASK] likes her.,2.4780645,NOM
It is I [MASK] likes her.,0.307433,NOM
It was he [MASK] likes her.,3.1624467,NOM
It was he [MASK] likes her.,0.17613465,NOM
It was I [MASK] likes her.,2.6806846,NOM
It was I [MASK] likes her.,0.2581468,NOM
It is she [MASK] likes him.,3.1655781,NOM
It is she [MASK] likes him.,0.17435698,NOM
It was she [MASK] likes him.,2.9491453,NOM
It was she [MASK] likes him.,0.20754509,NOM
It is they [MASK] love her.,1.9801667,NOM
It is they [MASK] love her.,0.47496888,NOM
It is we [MASK] love her.,1.6767038,NOM
It is we [MASK] love her.,0.6111311,NOM
It was they [MASK] love her.,1.916525,NOM
It was they [MASK] love her.,1.0050981,NOM
It was we [MASK] love her.,1.5307796,NOM
It was we [MASK] love her.,1.6310235,NOM
It is he [MASK] loves her.,3.707806,NOM
It is he [MASK] loves her.,0.117128804,NOM
It is I [MASK] loves her.,2.998593,NOM
It is I [MASK] loves her.,0.1959268,NOM
It was he [MASK] loves her.,3.2698402,NOM
It was he [MASK] loves her.,0.1607693,NOM
It was I [MASK] loves her.,2.8114882,NOM
It was I [MASK] loves her.,0.2256945,NOM
It is she [MASK] loves him.,3.2663188,NOM
It is she [MASK] loves him.,0.16282588,NOM
It was she [MASK] loves him.,2.7806833,NOM
It was she [MASK] loves him.,0.2312621,NOM
It is he [MASK] missed her.,3.3069732,NOM
It is he [MASK] missed her.,0.19505318,NOM
It is I [MASK] missed her.,2.411522,NOM
It is I [MASK] missed her.,1.6494048,NOM
It is they [MASK] missed her.,2.4345732,NOM
It is they [MASK] missed her.,0.49165222,NOM
It is we [MASK] missed her.,2.4482353,NOM
It is we [MASK] missed her.,1.2862751,NOM
It was he [MASK] missed her.,3.3124971,NOM
It was he [MASK] missed her.,0.15871371,NOM
It was I [MASK] missed her.,1.6750026,NOM
It was I [MASK] missed her.,0.5723943,NOM
It was they [MASK] missed her.,2.8743289,NOM
It was they [MASK] missed her.,0.2247036,NOM
It was we [MASK] missed her.,1.9335645,NOM
It was we [MASK] missed her.,0.4786574,NOM
It is she [MASK] missed him.,3.021264,NOM
It is she [MASK] missed him.,0.23766014,NOM
It was she [MASK] missed him.,3.2964349,NOM
It was she [MASK] missed him.,0.16265792,NOM
It is he [MASK] needed her.,3.4614122,NOM
It is he [MASK] needed her.,0.14692673,NOM
It is I [MASK] needed her.,2.9123647,NOM
It is I [MASK] needed her.,0.345763,NOM
It is they [MASK] needed her.,2.3150659,NOM
It is they [MASK] needed her.,0.3639391,NOM
It is we [MASK] needed her.,2.2349164,NOM
It is we [MASK] needed her.,0.4272949,NOM
It was he [MASK] needed her.,3.9746535,NOM
It was he [MASK] needed her.,0.095744565,NOM
It was I [MASK] needed her.,2.578496,NOM
It was I [MASK] needed her.,0.26709986,NOM
It was they [MASK] needed her.,2.8961394,NOM
It was they [MASK] needed her.,0.21242858,NOM
It was we [MASK] needed her.,1.8904588,NOM
It was we [MASK] needed her.,0.46366313,NOM
It is she [MASK] needed him.,2.8975677,NOM
It is she [MASK] needed him.,0.21889137,NOM
It was she [MASK] needed him.,3.555359,NOM
It was she [MASK] needed him.,0.12983887,NOM
It is he [MASK] noticed her.,3.4654348,NOM
It is he [MASK] noticed her.,0.17608471,NOM
It is I [MASK] noticed her.,3.8680782,NOM
It is I [MASK] noticed her.,1.9962493,NOM
It is they [MASK] noticed her.,1.7546996,NOM
It is they [MASK] noticed her.,0.6821346,NOM
It is we [MASK] noticed her.,2.7906854,NOM
It is we [MASK] noticed her.,1.0371517,NOM
It was he [MASK] noticed her.,3.5251431,NOM
It was he [MASK] noticed her.,0.13323374,NOM
It was I [MASK] noticed her.,3.3354187,NOM
It was I [MASK] noticed her.,0.15459676,NOM
It was they [MASK] noticed her.,1.9109999,NOM
It was they [MASK] noticed her.,0.4561024,NOM
It was we [MASK] noticed her.,2.3888958,NOM
It was we [MASK] noticed her.,0.3172067,NOM
It is she [MASK] noticed him.,3.1051424,NOM
It is she [MASK] noticed him.,0.23011939,NOM
It was she [MASK] noticed him.,3.5938022,NOM
It was she [MASK] noticed him.,0.12748104,NOM
It is he [MASK] painted her.,4.3483624,NOM
It is he [MASK] painted her.,0.07659561,NOM
It is I [MASK] painted her.,3.3102999,NOM
It is I [MASK] painted her.,0.16750127,NOM
It is they [MASK] painted her.,2.835089,NOM
It is they [MASK] painted her.,0.24610071,NOM
It is we [MASK] painted her.,3.3538556,NOM
It is we [MASK] painted her.,0.19971563,NOM
It was he [MASK] painted her.,3.2822654,NOM
It was he [MASK] painted her.,0.16007435,NOM
It was I [MASK] painted her.,2.7573721,NOM
It was I [MASK] painted her.,0.23512942,NOM
It was they [MASK] painted her.,2.820884,NOM
It was they [MASK] painted her.,0.23417419,NOM
It was we [MASK] painted her.,2.986205,NOM
It was we [MASK] painted her.,0.20402378,NOM
It is she [MASK] painted him.,3.613406,NOM
It is she [MASK] painted him.,0.13206835,NOM
It was she [MASK] painted him.,3.0652235,NOM
It was she [MASK] painted him.,0.18842432,NOM
It is he [MASK] praised her.,4.072534,NOM
It is he [MASK] praised her.,0.09492622,NOM
It is I [MASK] praised her.,2.842956,NOM
It is I [MASK] praised her.,0.23184253,NOM
It is they [MASK] praised her.,2.173606,NOM
It is they [MASK] praised her.,0.3842571,NOM
It is we [MASK] praised her.,2.2555022,NOM
It is we [MASK] praised her.,0.39845827,NOM
It was he [MASK] praised her.,3.5873752,NOM
It was he [MASK] praised her.,0.12700984,NOM
It was I [MASK] praised her.,3.39938,NOM
It was I [MASK] praised her.,0.14605972,NOM
It was they [MASK] praised her.,2.5949647,NOM
It was they [MASK] praised her.,0.26580775,NOM
It was we [MASK] praised her.,2.8456738,NOM
It was we [MASK] praised her.,0.22448325,NOM
It is she [MASK] praised him.,3.657619,NOM
It is she [MASK] praised him.,0.13029999,NOM
It was she [MASK] praised him.,3.7875414,NOM
It was she [MASK] praised him.,0.11085758,NOM
It is he [MASK] pressed her.,2.9416466,NOM
It is he [MASK] pressed her.,0.2242533,NOM
It is I [MASK] pressed her.,1.7362833,NOM
It is I [MASK] pressed her.,0.57098675,NOM
It is they [MASK] pressed her.,1.3104432,NOM
It is they [MASK] pressed her.,0.894874,NOM
It is we [MASK] pressed her.,1.2766035,NOM
It is we [MASK] pressed her.,0.97206634,NOM
It was he [MASK] pressed her.,2.9298775,NOM
It was he [MASK] pressed her.,0.2068073,NOM
It was I [MASK] pressed her.,2.3007948,NOM
It was I [MASK] pressed her.,0.3331455,NOM
It was they [MASK] pressed her.,1.6373088,NOM
It was they [MASK] pressed her.,0.580737,NOM
It was we [MASK] pressed her.,1.9891381,NOM
It was we [MASK] pressed her.,0.43437248,NOM
It is she [MASK] pressed him.,2.7862308,NOM
It is she [MASK] pressed him.,0.25943133,NOM
It was she [MASK] pressed him.,3.2282822,NOM
It was she [MASK] pressed him.,0.16886646,NOM
It is he [MASK] pulled her.,2.112268,NOM
It is he [MASK] pulled her.,0.3918265,NOM
It is I [MASK] pulled her.,1.4406788,NOM
It is I [MASK] pulled her.,0.70557404,NOM
It is they [MASK] pulled her.,0.83480287,NOM
It is they [MASK] pulled her.,1.2710445,NOM
It is we [MASK] pulled her.,0.82145154,NOM
It is we [MASK] pulled her.,1.2852461,NOM
It was he [MASK] pulled her.,1.8415835,NOM
It was he [MASK] pulled her.,0.47565615,NOM
It was I [MASK] pulled her.,1.3860226,NOM
It was I [MASK] pulled her.,0.70120823,NOM
It was they [MASK] pulled her.,0.86396044,NOM
It was they [MASK] pulled her.,1.170435,NOM
It was we [MASK] pulled her.,0.8006651,NOM
It was we [MASK] pulled her.,1.2511302,NOM
It is she [MASK] pulled him.,1.5936655,NOM
It is she [MASK] pulled him.,0.6086851,NOM
It was she [MASK] pulled him.,1.5255545,NOM
It was she [MASK] pulled him.,0.62479615,NOM
It is he [MASK] pushed her.,2.7435918,NOM
It is he [MASK] pushed her.,0.2443248,NOM
It is I [MASK] pushed her.,2.2063723,NOM
It is I [MASK] pushed her.,0.38135964,NOM
It is they [MASK] pushed her.,1.6334094,NOM
It is they [MASK] pushed her.,0.6021037,NOM
It is we [MASK] pushed her.,1.5649834,NOM
It is we [MASK] pushed her.,0.6524119,NOM
It was he [MASK] pushed her.,2.586681,NOM
It was he [MASK] pushed her.,0.26520398,NOM
It was I [MASK] pushed her.,2.0431077,NOM
It was I [MASK] pushed her.,0.4042409,NOM
It was they [MASK] pushed her.,1.8846161,NOM
It was they [MASK] pushed her.,0.46480995,NOM
It was we [MASK] pushed her.,1.4500698,NOM
It was we [MASK] pushed her.,0.66952443,NOM
It is she [MASK] pushed him.,2.3890796,NOM
It is she [MASK] pushed him.,0.32523555,NOM
It was she [MASK] pushed him.,2.7397602,NOM
It was she [MASK] pushed him.,0.23774825,NOM
It is he [MASK] respected her.,3.3248916,NOM
It is he [MASK] respected her.,0.1621774,NOM
It is I [MASK] respected her.,2.4841385,NOM
It is I [MASK] respected her.,0.32725194,NOM
It is they [MASK] respected her.,2.1537485,NOM
It is they [MASK] respected her.,0.39273155,NOM
It is we [MASK] respected her.,1.9638358,NOM
It is we [MASK] respected her.,0.49569973,NOM
It was he [MASK] respected her.,3.1210027,NOM
It was he [MASK] respected her.,0.17836292,NOM
It was I [MASK] respected her.,2.517646,NOM
It was I [MASK] respected her.,0.28367388,NOM
It was they [MASK] respected her.,2.7471597,NOM
It was they [MASK] respected her.,0.23657759,NOM
It was we [MASK] respected her.,2.3952122,NOM
It was we [MASK] respected her.,0.3143955,NOM
It is she [MASK] respected him.,3.116527,NOM
It is she [MASK] respected him.,0.18901373,NOM
It was she [MASK] respected him.,3.4303186,NOM
