sen,sur,comp
It is [MASK] who found her.,5.4853005,who
It is [MASK] who found her.,1.7969745,who
It is [MASK] who found him.,5.485268,who
It is [MASK] who found him.,2.4994223,who
It is [MASK] who greeted her.,11.036777,who
It is [MASK] who greeted her.,5.1488037,who
It is [MASK] who greeted her.,10.391386,who
It is [MASK] who greeted her.,5.7027316,who
It is [MASK] who greeted her.,9.968585,who
It is [MASK] who greeted her.,14.660896,who
It is [MASK] who greeted her.,8.626433,who
It is [MASK] who greeted her.,2.1460614,who
It is [MASK] who greeted him.,6.5293226,who
It is [MASK] who greeted him.,2.7345614,who
It is [MASK] who hate her.,8.539465,who
It is [MASK] who hate her.,4.388098,who
It is [MASK] who hate her.,5.789509,who
It is [MASK] who hate her.,1.4674114,who
It is [MASK] who hates her.,5.2498183,who
It is [MASK] who hates her.,4.709121,who
It is [MASK] who hates her.,16.213146,who
It is [MASK] who hates her.,2.4465547,who
It is [MASK] who hates him.,4.7262306,who
It is [MASK] who hates him.,1.7424417,who
It is [MASK] who he admired.,4.312712,who
It is [MASK] who he admired.,1.6040268,who
It is [MASK] who he advised.,5.7533894,who
It is [MASK] who he advised.,4.1380873,who
It is [MASK] who he avoided.,5.1017623,who
It is [MASK] who he avoided.,2.5904348,who
It is [MASK] who he called.,5.6873627,who
It is [MASK] who he called.,5.548128,who
It is [MASK] who he drew.,5.9729295,who
It is [MASK] who he drew.,7.632632,who
It is [MASK] who he feared.,4.352703,who
It is [MASK] who he feared.,1.586329,who
It is [MASK] who he found.,5.513836,who
It is [MASK] who he found.,4.972194,who
It is [MASK] who he greeted.,6.388232,who
It is [MASK] who he greeted.,5.3412037,who
It is [MASK] who he hates.,4.1721096,who
It is [MASK] who he hates.,2.941659,who
It is [MASK] who he heard.,9.06507,who
It is [MASK] who he heard.,8.63316,who
It is [MASK] who he hit.,4.5014586,who
It is [MASK] who he hit.,6.8758144,who
It is [MASK] who he hurt.,3.4111195,who
It is [MASK] who he hurt.,4.7110715,who
It is [MASK] who he injured.,7.977276,who
It is [MASK] who he injured.,9.213754,who
It is [MASK] who he likes.,4.2457414,who
It is [MASK] who he likes.,4.456522,who
It is [MASK] who he loves.,2.5795398,who
It is [MASK] who he loves.,1.8526641,who
It is [MASK] who he missed.,5.091788,who
It is [MASK] who he missed.,2.228109,who
It is [MASK] who he needed.,4.4981294,who
It is [MASK] who he needed.,3.6173553,who
It is [MASK] who he noticed.,5.641006,who
It is [MASK] who he noticed.,4.059069,who
It is [MASK] who he painted.,15.813698,who
It is [MASK] who he painted.,17.453632,who
It is [MASK] who he praised.,4.3713436,who
It is [MASK] who he praised.,2.2295434,who
It is [MASK] who he pressed.,5.3331695,who
It is [MASK] who he pressed.,5.273844,who
It is [MASK] who he pulled.,5.381488,who
It is [MASK] who he pulled.,6.7101955,who
It is [MASK] who he pushed.,4.5810957,who
It is [MASK] who he pushed.,5.4083242,who
It is [MASK] who he respected.,4.873971,who
It is [MASK] who he respected.,2.8713808,who
It is [MASK] who he saw.,5.8313427,who
It is [MASK] who he saw.,5.769762,who
It is [MASK] who he sent.,5.7881055,who
It is [MASK] who he sent.,5.606314,who
It is [MASK] who he stroke.,4.6582623,who
It is [MASK] who he stroke.,4.546215,who
It is [MASK] who he taught.,6.0273323,who
It is [MASK] who he taught.,5.719302,who
It is [MASK] who he told.,5.530857,who
It is [MASK] who he told.,4.581115,who
It is [MASK] who he trusted.,5.165778,who
It is [MASK] who he trusted.,3.9350717,who
It is [MASK] who he valued.,3.4788904,who
It is [MASK] who he valued.,1.4630625,who
It is [MASK] who he wanted.,4.7811623,who
It is [MASK] who he wanted.,5.506047,who
It is [MASK] who heard her.,10.408757,who
It is [MASK] who heard her.,4.755685,who
It is [MASK] who heard her.,10.338471,who
It is [MASK] who heard her.,6.1662765,who
It is [MASK] who heard her.,8.631844,who
It is [MASK] who heard her.,15.957659,who
It is [MASK] who heard her.,7.4350986,who
It is [MASK] who heard her.,1.5336885,who
It is [MASK] who heard him.,6.6710978,who
It is [MASK] who heard him.,2.6333113,who
It is [MASK] who hit her.,10.10709,who
It is [MASK] who hit her.,3.7435627,who
It is [MASK] who hit her.,8.795167,who
It is [MASK] who hit her.,3.8393903,who
It is [MASK] who hit her.,10.220358,who
It is [MASK] who hit her.,15.756043,who
It is [MASK] who hit her.,7.851853,who
It is [MASK] who hit her.,2.1771848,who
It is [MASK] who hit him.,4.9851155,who
It is [MASK] who hit him.,2.8086329,who
It is [MASK] who hurt her.,9.652545,who
It is [MASK] who hurt her.,4.1414227,who
It is [MASK] who hurt her.,8.531117,who
It is [MASK] who hurt her.,5.4266977,who
It is [MASK] who hurt her.,7.3663015,who
It is [MASK] who hurt her.,17.208157,who
It is [MASK] who hurt her.,5.583103,who
It is [MASK] who hurt her.,2.4128406,who
It is [MASK] who hurt him.,6.0779247,who
It is [MASK] who hurt him.,3.4356935,who
It is [MASK] who injured her.,11.46834,who
It is [MASK] who injured her.,7.683173,who
It is [MASK] who injured her.,10.191596,who
It is [MASK] who injured her.,4.845268,who
It is [MASK] who injured her.,11.6354685,who
It is [MASK] who injured her.,13.685307,who
It is [MASK] who injured her.,8.227168,who
It is [MASK] who injured her.,1.3365853,who
It is [MASK] who injured him.,5.0789747,who
It is [MASK] who injured him.,2.4337425,who
It is [MASK] who like her.,6.9974995,who
It is [MASK] who like her.,5.4364934,who
It is [MASK] who like her.,4.154691,who
It is [MASK] who like her.,2.786037,who
It is [MASK] who likes her.,5.654313,who
It is [MASK] who likes her.,4.918955,who
It is [MASK] who likes her.,17.028366,who
It is [MASK] who likes her.,1.8989633,who
It is [MASK] who likes him.,5.183903,who
It is [MASK] who likes him.,1.4646833,who
It is [MASK] who love her.,8.814461,who
It is [MASK] who love her.,4.767019,who
It is [MASK] who love her.,5.2179008,who
It is [MASK] who love her.,1.0765188,who
It is [MASK] who loves her.,7.2006373,who
It is [MASK] who loves her.,4.9289775,who
It is [MASK] who loves her.,16.517082,who
It is [MASK] who loves her.,1.0887232,who
It is [MASK] who loves him.,4.775614,who
It is [MASK] who loves him.,0.9489532,who
It is [MASK] who missed her.,10.715716,who
It is [MASK] who missed her.,4.957434,who
It is [MASK] who missed her.,10.006385,who
It is [MASK] who missed her.,5.6184278,who
It is [MASK] who missed her.,7.6282187,who
It is [MASK] who missed her.,16.43747,who
It is [MASK] who missed her.,7.054072,who
It is [MASK] who missed her.,1.668681,who
It is [MASK] who missed him.,5.990747,who
It is [MASK] who missed him.,2.2460515,who
It is [MASK] who needed her.,9.077414,who
It is [MASK] who needed her.,4.662512,who
It is [MASK] who needed her.,8.4501505,who
It is [MASK] who needed her.,5.426344,who
It is [MASK] who needed her.,7.0124874,who
It is [MASK] who needed her.,17.384129,who
It is [MASK] who needed her.,6.447324,who
It is [MASK] who needed her.,2.3525858,who
It is [MASK] who needed him.,5.3390427,who
It is [MASK] who needed him.,2.9001272,who
It is [MASK] who noticed her.,10.832985,who
It is [MASK] who noticed her.,5.411541,who
It is [MASK] who noticed her.,9.58625,who
It is [MASK] who noticed her.,5.7237344,who
It is [MASK] who noticed her.,9.719541,who
It is [MASK] who noticed her.,15.785144,who
It is [MASK] who noticed her.,7.7635927,who
It is [MASK] who noticed her.,2.3293533,who
It is [MASK] who noticed him.,6.300198,who
It is [MASK] who noticed him.,2.4033294,who
It is [MASK] who painted her.,12.392173,who
It is [MASK] who painted her.,8.637511,who
It is [MASK] who painted her.,11.793974,who
It is [MASK] who painted her.,5.2566423,who
It is [MASK] who painted her.,11.042679,who
It is [MASK] who painted her.,14.810381,who
It is [MASK] who painted her.,8.4243,who
It is [MASK] who painted her.,0.58767813,who
It is [MASK] who painted him.,4.875715,who
It is [MASK] who painted him.,1.1495109,who
It is [MASK] who praised her.,10.606026,who
It is [MASK] who praised her.,6.4780693,who
It is [MASK] who praised her.,9.297663,who
It is [MASK] who praised her.,5.479141,who
It is [MASK] who praised her.,8.145418,who
It is [MASK] who praised her.,16.03413,who
It is [MASK] who praised her.,6.256525,who
It is [MASK] who praised her.,1.3656272,who
It is [MASK] who praised him.,6.0337834,who
It is [MASK] who praised him.,2.4855473,who
It is [MASK] who pressed her.,11.027554,who
It is [MASK] who pressed her.,4.924758,who
It is [MASK] who pressed her.,10.0177,who
It is [MASK] who pressed her.,5.495722,who
It is [MASK] who pressed her.,9.475959,who
It is [MASK] who pressed her.,16.35965,who
It is [MASK] who pressed her.,7.552746,who
It is [MASK] who pressed her.,1.4380734,who
It is [MASK] who pressed him.,5.988138,who
It is [MASK] who pressed him.,1.8605529,who
It is [MASK] who pulled her.,10.613493,who
It is [MASK] who pulled her.,4.353266,who
It is [MASK] who pulled her.,9.676413,who
It is [MASK] who pulled her.,5.374578,who
It is [MASK] who pulled her.,9.146919,who
It is [MASK] who pulled her.,16.827389,who
It is [MASK] who pulled her.,7.050025,who
It is [MASK] who pulled her.,1.5041248,who
It is [MASK] who pulled him.,5.915386,who
It is [MASK] who pulled him.,2.1550226,who
It is [MASK] who pushed her.,10.686644,who
It is [MASK] who pushed her.,4.2419167,who
It is [MASK] who pushed her.,9.714658,who
It is [MASK] who pushed her.,5.1507664,who
It is [MASK] who pushed her.,8.867434,who
It is [MASK] who pushed her.,17.024128,who
It is [MASK] who pushed her.,7.145598,who
It is [MASK] who pushed her.,1.7086383,who
It is [MASK] who pushed him.,5.149052,who
It is [MASK] who pushed him.,1.7419384,who
It is [MASK] who respected her.,9.899707,who
It is [MASK] who respected her.,5.3641562,who
It is [MASK] who respected her.,8.450133,who
It is [MASK] who respected her.,5.586236,who
It is [MASK] who respected her.,7.04462,who
It is [MASK] who respected her.,17.520805,who
It is [MASK] who respected her.,5.3976393,who
It is [MASK] who respected her.,1.5641782,who
It is [MASK] who respected him.,6.1762652,who
It is [MASK] who respected him.,2.4325633,who
It is [MASK] who saw her.,9.661647,who
It is [MASK] who saw her.,4.6133857,who
It is [MASK] who saw her.,9.507638,who
It is [MASK] who saw her.,5.032442,who
It is [MASK] who saw her.,8.15837,who
It is [MASK] who saw her.,16.263597,who
It is [MASK] who saw her.,7.371992,who
It is [MASK] who saw her.,1.4897714,who
It is [MASK] who saw him.,5.706311,who
It is [MASK] who saw him.,2.2306833,who
It is [MASK] who sent her.,9.231675,who
It is [MASK] who sent her.,3.953051,who
It is [MASK] who sent her.,10.364303,who
It is [MASK] who sent her.,6.2712803,who
It is [MASK] who sent her.,7.3203244,who
It is [MASK] who sent her.,16.613028,who
It is [MASK] who sent her.,7.6878104,who
It is [MASK] who sent her.,2.0655863,who
It is [MASK] who sent him.,6.13258,who
It is [MASK] who sent him.,2.8487744,who
It is [MASK] who she admired.,12.143088,who
It is [MASK] who she admired.,6.9827933,who
It is [MASK] who she admired.,9.814621,who
It is [MASK] who she admired.,3.8273575,who
It is [MASK] who she admired.,11.361238,who
It is [MASK] who she admired.,15.387406,who
It is [MASK] who she admired.,8.677298,who
It is [MASK] who she admired.,1.3772734,who
It is [MASK] who she advised.,7.8320155,who
It is [MASK] who she advised.,3.1774461,who
It is [MASK] who she advised.,9.568739,who
It is [MASK] who she advised.,5.0263133,who
It is [MASK] who she advised.,7.89662,who
It is [MASK] who she advised.,14.602744,who
It is [MASK] who she advised.,9.379181,who
It is [MASK] who she advised.,2.7405565,who
It is [MASK] who she avoided.,10.364299,who
It is [MASK] who she avoided.,5.276677,who
It is [MASK] who she avoided.,9.613586,who
It is [MASK] who she avoided.,4.366442,who
It is [MASK] who she avoided.,9.682965,who
It is [MASK] who she avoided.,14.564488,who
It is [MASK] who she avoided.,8.107231,who
It is [MASK] who she avoided.,2.0954514,who
It is [MASK] who she called.,8.2853565,who
It is [MASK] who she called.,3.3023672,who
It is [MASK] who she called.,9.630813,who
It is [MASK] who she called.,4.633308,who
It is [MASK] who she called.,10.309854,who
It is [MASK] who she called.,12.3598,who
It is [MASK] who she called.,11.250594,who
It is [MASK] who she called.,4.544975,who
It is [MASK] who she drew.,8.47222,who
It is [MASK] who she drew.,4.2556634,who
It is [MASK] who she drew.,9.6055565,who
It is [MASK] who she drew.,4.809573,who
It is [MASK] who she drew.,10.873677,who
It is [MASK] who she drew.,14.052622,who
It is [MASK] who she drew.,11.6288805,who
It is [MASK] who she drew.,5.705849,who
It is [MASK] who she feared.,12.751538,who
It is [MASK] who she feared.,7.685141,who
It is [MASK] who she feared.,9.84574,who
It is [MASK] who she feared.,3.8656514,who
It is [MASK] who she feared.,12.402967,who
It is [MASK] who she feared.,14.627976,who
It is [MASK] who she feared.,8.278886,who
It is [MASK] who she feared.,1.2064035,who
It is [MASK] who she found.,8.402108,who
It is [MASK] who she found.,4.5858045,who
It is [MASK] who she found.,8.220587,who
It is [MASK] who she found.,4.1270323,who
It is [MASK] who she found.,10.39157,who
It is [MASK] who she found.,13.578807,who
It is [MASK] who she found.,9.467194,who
It is [MASK] who she found.,3.9333968,who
It is [MASK] who she greeted.,9.145499,who
It is [MASK] who she greeted.,3.9491265,who
It is [MASK] who she greeted.,10.022479,who
It is [MASK] who she greeted.,4.811227,who
It is [MASK] who she greeted.,11.1568365,who
It is [MASK] who she greeted.,12.876689,who
It is [MASK] who she greeted.,11.124937,who
It is [MASK] who she greeted.,4.0619574,who
It is [MASK] who she hates.,10.1235695,who
It is [MASK] who she hates.,4.996933,who
It is [MASK] who she hates.,9.269169,who
It is [MASK] who she hates.,3.9411902,who
It is [MASK] who she hates.,10.98449,who
It is [MASK] who she hates.,13.91965,who
It is [MASK] who she hates.,8.909681,who
It is [MASK] who she hates.,2.8714712,who
It is [MASK] who she heard.,11.241395,who
It is [MASK] who she heard.,7.007974,who
It is [MASK] who she heard.,11.354467,who
It is [MASK] who she heard.,6.830703,who
It is [MASK] who she heard.,13.541642,who
It is [MASK] who she heard.,14.470579,who
It is [MASK] who she heard.,12.616382,who
It is [MASK] who she heard.,6.3642488,who
It is [MASK] who she hit.,7.811397,who
It is [MASK] who she hit.,3.218496,who
It is [MASK] who she hit.,7.71524,who
It is [MASK] who she hit.,3.0293303,who
It is [MASK] who she hit.,11.379658,who
It is [MASK] who she hit.,14.872995,who
It is [MASK] who she hit.,11.144527,who
It is [MASK] who she hit.,5.4037404,who
It is [MASK] who she hurt.,7.8529987,who
It is [MASK] who she hurt.,3.072891,who
It is [MASK] who she hurt.,8.0595,who
It is [MASK] who she hurt.,3.4534438,who
It is [MASK] who she hurt.,8.913956,who
It is [MASK] who she hurt.,15.179289,who
It is [MASK] who she hurt.,9.25771,who
It is [MASK] who she hurt.,3.7251008,who
It is [MASK] who she injured.,10.011824,who
It is [MASK] who she injured.,7.4566913,who
It is [MASK] who she injured.,10.001766,who
It is [MASK] who she injured.,5.030813,who
It is [MASK] who she injured.,12.930007,who
It is [MASK] who she injured.,14.231141,who
It is [MASK] who she injured.,11.618288,who
It is [MASK] who she injured.,5.134515,who
It is [MASK] who she likes.,10.888128,who
It is [MASK] who she likes.,5.3581576,who
It is [MASK] who she likes.,9.943271,who
It is [MASK] who she likes.,4.499142,who
It is [MASK] who she likes.,12.156465,who
It is [MASK] who she likes.,15.097303,who
It is [MASK] who she likes.,11.158343,who
It is [MASK] who she likes.,4.425778,who
It is [MASK] who she loves.,10.504895,who
It is [MASK] who she loves.,5.7960954,who
It is [MASK] who she loves.,9.980905,who
It is [MASK] who she loves.,3.1165357,who
It is [MASK] who she loves.,11.629293,who
It is [MASK] who she loves.,14.435926,who
It is [MASK] who she loves.,10.202716,who
It is [MASK] who she loves.,2.371268,who
It is [MASK] who she missed.,13.575285,who
It is [MASK] who she missed.,8.019154,who
It is [MASK] who she missed.,10.440725,who
It is [MASK] who she missed.,4.5717745,who
It is [MASK] who she missed.,12.983507,who
It is [MASK] who she missed.,13.8818035,who
It is [MASK] who she missed.,8.771476,who
It is [MASK] who she missed.,1.9367046,who
It is [MASK] who she needed.,11.603981,who
It is [MASK] who she needed.,5.9279227,who
It is [MASK] who she needed.,9.265937,who
It is [MASK] who she needed.,4.223293,who
It is [MASK] who she needed.,11.293729,who
It is [MASK] who she needed.,15.677392,who
It is [MASK] who she needed.,8.94738,who
It is [MASK] who she needed.,3.0113902,who
It is [MASK] who she noticed.,10.1818905,who
It is [MASK] who she noticed.,5.0262094,who
It is [MASK] who she noticed.,9.962595,who
It is [MASK] who she noticed.,4.6444774,who
It is [MASK] who she noticed.,12.0344715,who
It is [MASK] who she noticed.,13.605085,who
It is [MASK] who she noticed.,10.58567,who
It is [MASK] who she noticed.,3.5705655,who
It is [MASK] who she painted.,11.401863,who
It is [MASK] who she painted.,8.631126,who
It is [MASK] who she painted.,13.010441,who
It is [MASK] who she painted.,7.9783554,who
It is [MASK] who she painted.,13.49302,who
It is [MASK] who she painted.,15.411937,who
It is [MASK] who she painted.,14.839797,who
It is [MASK] who she painted.,8.1039505,who
It is [MASK] who she praised.,9.928086,who
It is [MASK] who she praised.,4.625579,who
It is [MASK] who she praised.,9.383576,who
It is [MASK] who she praised.,4.6624503,who
It is [MASK] who she praised.,8.62537,who
It is [MASK] who she praised.,14.792931,who
It is [MASK] who she praised.,7.8448124,who
It is [MASK] who she praised.,1.7791916,who
It is [MASK] who she pressed.,8.135384,who
It is [MASK] who she pressed.,2.687554,who
It is [MASK] who she pressed.,9.587155,who
It is [MASK] who she pressed.,4.3608317,who
It is [MASK] who she pressed.,10.025017,who
It is [MASK] who she pressed.,13.556211,who
It is [MASK] who she pressed.,10.936944,who
It is [MASK] who she pressed.,3.9493363,who
It is [MASK] who she pulled.,7.7341614,who
It is [MASK] who she pulled.,3.2243958,who
It is [MASK] who she pulled.,8.741298,who
It is [MASK] who she pulled.,4.4107437,who
It is [MASK] who she pulled.,10.534702,who
It is [MASK] who she pulled.,14.474382,who
It is [MASK] who she pulled.,10.796617,who
It is [MASK] who she pulled.,5.092615,who
It is [MASK] who she pushed.,8.195237,who
It is [MASK] who she pushed.,2.9398246,who
It is [MASK] who she pushed.,8.800055,who
It is [MASK] who she pushed.,4.1132636,who
It is [MASK] who she pushed.,9.077607,who
It is [MASK] who she pushed.,14.909757,who
It is [MASK] who she pushed.,9.538938,who
It is [MASK] who she pushed.,4.0592313,who
It is [MASK] who she respected.,11.283681,who
It is [MASK] who she respected.,6.3494596,who
It is [MASK] who she respected.,9.070436,who
It is [MASK] who she respected.,3.8842814,who
It is [MASK] who she respected.,10.580921,who
It is [MASK] who she respected.,15.254909,who
It is [MASK] who she respected.,8.1057,who
It is [MASK] who she respected.,1.7269663,who
It is [MASK] who she saw.,9.677333,who
It is [MASK] who she saw.,4.97316,who
It is [MASK] who she saw.,9.190639,who
It is [MASK] who she saw.,4.509008,who
It is [MASK] who she saw.,11.823135,who
It is [MASK] who she saw.,13.651705,who
It is [MASK] who she saw.,10.709308,who
It is [MASK] who she saw.,4.810305,who
It is [MASK] who she sent.,6.7875533,who
It is [MASK] who she sent.,2.6545792,who
It is [MASK] who she sent.,8.958819,who
It is [MASK] who she sent.,5.1081133,who
It is [MASK] who she sent.,8.137961,who
It is [MASK] who she sent.,13.392317,who
It is [MASK] who she sent.,10.182067,who
It is [MASK] who she sent.,4.3036804,who
It is [MASK] who she stroke.,8.544558,who
It is [MASK] who she stroke.,4.3748016,who
It is [MASK] who she stroke.,7.2460055,who
It is [MASK] who she stroke.,4.723453,who
It is [MASK] who she stroke.,7.227365,who
It is [MASK] who she stroke.,14.838527,who
It is [MASK] who she stroke.,6.03339,who
It is [MASK] who she stroke.,3.2178667,who
It is [MASK] who she taught.,7.4850082,who
It is [MASK] who she taught.,3.3364258,who
It is [MASK] who she taught.,8.668786,who
It is [MASK] who she taught.,6.129863,who
It is [MASK] who she taught.,7.2396436,who
It is [MASK] who she taught.,14.773339,who
It is [MASK] who she taught.,8.4553585,who
It is [MASK] who she taught.,4.3676915,who
It is [MASK] who she told.,8.35137,who
It is [MASK] who she told.,3.4287076,who
It is [MASK] who she told.,8.671427,who
It is [MASK] who she told.,5.035878,who
It is [MASK] who she told.,8.635422,who
It is [MASK] who she told.,14.14434,who
It is [MASK] who she told.,8.848528,who
It is [MASK] who she told.,3.279455,who
It is [MASK] who she trusted.,11.549439,who
It is [MASK] who she trusted.,6.8964763,who
It is [MASK] who she trusted.,8.514285,who
It is [MASK] who she trusted.,3.8253183,who
It is [MASK] who she trusted.,11.623371,who
It is [MASK] who she trusted.,15.296355,who
It is [MASK] who she trusted.,8.279617,who
It is [MASK] who she trusted.,2.4543786,who
It is [MASK] who she valued.,11.786475,who
It is [MASK] who she valued.,7.1482215,who
It is [MASK] who she valued.,9.201257,who
It is [MASK] who she valued.,3.6866646,who
It is [MASK] who she valued.,10.948683,who
It is [MASK] who she valued.,16.319489,who
It is [MASK] who she valued.,7.9135866,who
It is [MASK] who she valued.,1.4493437,who
It is [MASK] who she wanted.,12.045672,who
It is [MASK] who she wanted.,7.0123367,who
It is [MASK] who she wanted.,9.933293,who
It is [MASK] who she wanted.,5.190557,who
It is [MASK] who she wanted.,12.766011,who
It is [MASK] who she wanted.,16.368816,who
It is [MASK] who she wanted.,10.945279,who
It is [MASK] who she wanted.,5.1080503,who
It is [MASK] who stroke her.,10.376776,who
It is [MASK] who stroke her.,7.011931,who
It is [MASK] who stroke her.,6.95169,who
It is [MASK] who stroke her.,8.983243,who
It is [MASK] who stroke her.,5.751542,who
It is [MASK] who stroke her.,17.963366,who
It is [MASK] who stroke her.,1.6343807,who
It is [MASK] who stroke her.,5.402372,who
It is [MASK] who stroke him.,8.54377,who
It is [MASK] who stroke him.,7.1469755,who
It is [MASK] who taught her.,10.101979,who
It is [MASK] who taught her.,4.492332,who
It is [MASK] who taught her.,10.799716,who
It is [MASK] who taught her.,6.254509,who
It is [MASK] who taught her.,7.2613106,who
It is [MASK] who taught her.,17.176758,who
It is [MASK] who taught her.,7.310206,who
It is [MASK] who taught her.,1.7533419,who
It is [MASK] who taught him.,6.4486694,who
It is [MASK] who taught him.,2.6998923,who
It is [MASK] who told her.,10.238037,who
It is [MASK] who told her.,3.8972163,who
It is [MASK] who told her.,11.065677,who
It is [MASK] who told her.,6.036517,who
It is [MASK] who told her.,8.775194,who
It is [MASK] who told her.,16.139894,who
It is [MASK] who told her.,8.975705,who
It is [MASK] who told her.,2.2749045,who
It is [MASK] who told him.,6.198276,who
It is [MASK] who told him.,2.784833,who
It is [MASK] who trusted her.,10.462924,who
It is [MASK] who trusted her.,5.280425,who
It is [MASK] who trusted her.,9.828081,who
It is [MASK] who trusted her.,6.1369505,who
It is [MASK] who trusted her.,7.582774,who
It is [MASK] who trusted her.,17.465122,who
It is [MASK] who trusted her.,6.487726,who
It is [MASK] who trusted her.,1.5973666,who
It is [MASK] who trusted him.,6.1982102,who
It is [MASK] who trusted him.,2.0779614,who
It is [MASK] who valued her.,10.728581,who
It is [MASK] who valued her.,5.651639,who
It is [MASK] who valued her.,9.642298,who
It is [MASK] who valued her.,5.5772357,who
It is [MASK] who valued her.,7.9568586,who
It is [MASK] who valued her.,18.097334,who
It is [MASK] who valued her.,6.2632008,who
It is [MASK] who valued her.,1.0232878,who
It is [MASK] who valued him.,5.9385304,who
It is [MASK] who valued him.,1.6203778,who
It is [MASK] who wanted her.,9.870365,who
It is [MASK] who wanted her.,5.4338555,who
It is [MASK] who wanted her.,8.301632,who
It is [MASK] who wanted her.,4.381799,who
It is [MASK] who wanted her.,8.20376,who
It is [MASK] who wanted her.,17.942692,who
It is [MASK] who wanted her.,6.0548167,who
It is [MASK] who wanted her.,1.0831361,who
It is [MASK] who wanted him.,4.592116,who
It is [MASK] who wanted him.,1.5871826,who
It was [MASK] who admired her.,12.844007,who
It was [MASK] who admired her.,7.0021334,who
It was [MASK] who admired her.,9.357648,who
It was [MASK] who admired her.,4.8156,who
It was [MASK] who admired her.,11.746489,who
It was [MASK] who admired her.,17.860996,who
It was [MASK] who admired her.,7.660183,who
It was [MASK] who admired her.,1.8703144,who
It was [MASK] who admired him.,5.004101,who
It was [MASK] who admired him.,1.506593,who
It was [MASK] who advised her.,12.228602,who
It was [MASK] who advised her.,6.260561,who
It was [MASK] who advised her.,10.70701,who
It was [MASK] who advised her.,6.3949165,who
It was [MASK] who advised her.,11.66582,who
It was [MASK] who advised her.,16.130903,who
It was [MASK] who advised her.,9.593583,who
It was [MASK] who advised her.,3.3261213,who
It was [MASK] who advised him.,6.5872684,who
It was [MASK] who advised him.,3.587614,who
It was [MASK] who avoided her.,12.481402,who
It was [MASK] who avoided her.,7.128031,who
It was [MASK] who avoided her.,8.565991,who
It was [MASK] who avoided her.,4.622573,who
It was [MASK] who avoided her.,12.073032,who
It was [MASK] who avoided her.,16.988598,who
It was [MASK] who avoided her.,7.4442835,who
It was [MASK] who avoided her.,2.5409534,who
It was [MASK] who avoided him.,4.779122,who
It was [MASK] who avoided him.,1.8751978,who
It was [MASK] who called her.,11.717475,who
It was [MASK] who called her.,5.3308544,who
It was [MASK] who called her.,9.643698,who
It was [MASK] who called her.,4.613956,who
It was [MASK] who called her.,12.783389,who
It was [MASK] who called her.,14.9975195,who
It was [MASK] who called her.,10.341951,who
It was [MASK] who called her.,3.9332018,who
It was [MASK] who called him.,5.1776075,who
