idx,sen,sur,case,gap,per,comp,order.gap,order.comp
75,It was [MASK] that she pulled.,3.8456144,ACC,obj,1st-sing,that,1,1
76,It was [MASK] that she pressed.,7.2746124,ACC,obj,1st-sing,that,1,1
77,It was [MASK] that she praised.,3.7444518,ACC,obj,1st-sing,that,1,1
78,It was [MASK] that she painted.,3.8873928,ACC,obj,1st-sing,that,1,1
79,It was [MASK] that she noticed.,6.7827086,ACC,obj,1st-sing,that,1,1
80,It was [MASK] that she needed.,5.6279335,ACC,obj,1st-sing,that,1,1
81,It was [MASK] that she missed.,5.747847,ACC,obj,1st-sing,that,1,1
82,It was [MASK] that she loves.,2.3753312,ACC,obj,1st-sing,that,1,1
83,It was [MASK] that she likes.,2.9921954,ACC,obj,1st-sing,that,1,1
84,It was [MASK] that she injured.,4.851477,ACC,obj,1st-sing,that,1,1
85,It was [MASK] that she hurt.,7.7504845,ACC,obj,1st-sing,that,1,1
86,It was [MASK] that she hit.,3.7991538,ACC,obj,1st-sing,that,1,1
87,It was [MASK] that she heard.,6.229342,ACC,obj,1st-sing,that,1,1
88,It was [MASK] that she hates.,1.8094034,ACC,obj,1st-sing,that,1,1
89,It was [MASK] that she greeted.,3.5631557,ACC,obj,1st-sing,that,1,1
90,It was [MASK] that she found.,6.70063,ACC,obj,1st-sing,that,1,1
91,It was [MASK] that she feared.,6.107158,ACC,obj,1st-sing,that,1,1
92,It was [MASK] that she drew.,4.8535137,ACC,obj,1st-sing,that,1,1
93,It was [MASK] that she called.,8.314929,ACC,obj,1st-sing,that,1,1
94,It was [MASK] that she avoided.,5.992464,ACC,obj,1st-sing,that,1,1
95,It was [MASK] that she advised.,2.6621022,ACC,obj,1st-sing,that,1,1
96,It was [MASK] that she admired.,6.2994895,ACC,obj,1st-sing,that,1,1
97,It is [MASK] that she wanted.,2.8946726,ACC,obj,1st-sing,that,1,1
98,It is [MASK] that she valued.,4.6659274,ACC,obj,1st-sing,that,1,1
99,It is [MASK] that she trusted.,3.7756503,ACC,obj,1st-sing,that,1,1
100,It is [MASK] that she told.,4.6940475,ACC,obj,1st-sing,that,1,1
101,It is [MASK] that she taught.,4.3470926,ACC,obj,1st-sing,that,1,1
102,It is [MASK] that she stroke.,6.9766564,ACC,obj,1st-sing,that,1,1
103,It is [MASK] that she sent.,1.7965969,ACC,obj,1st-sing,that,1,1
104,It is [MASK] that she saw.,4.514027,ACC,obj,1st-sing,that,1,1
105,It is [MASK] that she respected.,3.8240554,ACC,obj,1st-sing,that,1,1
106,It is [MASK] that she pushed.,4.563174,ACC,obj,1st-sing,that,1,1
107,It is [MASK] that she pulled.,4.2849817,ACC,obj,1st-sing,that,1,1
108,It is [MASK] that she pressed.,7.1972847,ACC,obj,1st-sing,that,1,1
109,It is [MASK] that she praised.,5.317024,ACC,obj,1st-sing,that,1,1
110,It is [MASK] that she painted.,7.5151052,ACC,obj,1st-sing,that,1,1
111,It is [MASK] that she noticed.,8.959895,ACC,obj,1st-sing,that,1,1
112,It is [MASK] that she needed.,3.9375787,ACC,obj,1st-sing,that,1,1
113,It is [MASK] that she missed.,4.8267937,ACC,obj,1st-sing,that,1,1
114,It is [MASK] that she loves.,3.3942232,ACC,obj,1st-sing,that,1,1
115,It is [MASK] that she likes.,3.8892002,ACC,obj,1st-sing,that,1,1
116,It is [MASK] that she injured.,10.3023405,ACC,obj,1st-sing,that,1,1
117,It is [MASK] that she hurt.,6.818307,ACC,obj,1st-sing,that,1,1
118,It is [MASK] that she hit.,4.326324,ACC,obj,1st-sing,that,1,1
119,It is [MASK] that she heard.,7.887234,ACC,obj,1st-sing,that,1,1
120,It is [MASK] that she hates.,2.7817118,ACC,obj,1st-sing,that,1,1
121,It is [MASK] that she greeted.,2.7738912,ACC,obj,1st-sing,that,1,1
122,It is [MASK] that she found.,5.602371,ACC,obj,1st-sing,that,1,1
123,It is [MASK] that she feared.,2.9975262,ACC,obj,1st-sing,that,1,1
124,It is [MASK] that she drew.,4.2667737,ACC,obj,1st-sing,that,1,1
125,It is [MASK] that she called.,8.82034,ACC,obj,1st-sing,that,1,1
126,It is [MASK] that she avoided.,5.113446,ACC,obj,1st-sing,that,1,1
127,It is [MASK] that she advised.,3.788304,ACC,obj,1st-sing,that,1,1
128,It is [MASK] that she admired.,4.005437,ACC,obj,1st-sing,that,1,1
129,It was [MASK] that she wanted.,8.881943,ACC,obj,3rd-plr,that,1,1
130,It was [MASK] that she valued.,8.279991,ACC,obj,3rd-plr,that,1,1
131,It was [MASK] that she trusted.,7.348903,ACC,obj,3rd-plr,that,1,1
132,It was [MASK] that she told.,6.3067265,ACC,obj,3rd-plr,that,1,1
133,It was [MASK] that she taught.,6.6211047,ACC,obj,3rd-plr,that,1,1
134,It was [MASK] that she stroke.,9.361931,ACC,obj,3rd-plr,that,1,1
135,It was [MASK] that she sent.,6.597083,ACC,obj,3rd-plr,that,1,1
136,It was [MASK] that she saw.,6.550666,ACC,obj,3rd-plr,that,1,1
137,It was [MASK] that she respected.,7.3682966,ACC,obj,3rd-plr,that,1,1
138,It was [MASK] that she pushed.,8.368611,ACC,obj,3rd-plr,that,1,1
139,It was [MASK] that she pulled.,8.310602,ACC,obj,3rd-plr,that,1,1
140,It was [MASK] that she pressed.,10.482342,ACC,obj,3rd-plr,that,1,1
141,It was [MASK] that she praised.,6.648385,ACC,obj,3rd-plr,that,1,1
142,It was [MASK] that she painted.,6.5039787,ACC,obj,3rd-plr,that,1,1
143,It was [MASK] that she noticed.,9.327206,ACC,obj,3rd-plr,that,1,1
144,It was [MASK] that she needed.,9.642601,ACC,obj,3rd-plr,that,1,1
145,It was [MASK] that she missed.,7.8783455,ACC,obj,3rd-plr,that,1,1
146,It was [MASK] that she loves.,7.769505,ACC,obj,3rd-plr,that,1,1
147,It was [MASK] that she likes.,8.704733,ACC,obj,3rd-plr,that,1,1
148,It was [MASK] that she injured.,7.2409277,ACC,obj,3rd-plr,that,1,1
149,It was [MASK] that she hurt.,10.42583,ACC,obj,3rd-plr,that,1,1
150,It was [MASK] that she hit.,6.579567,ACC,obj,3rd-plr,that,1,1
151,It was [MASK] that she heard.,7.587373,ACC,obj,3rd-plr,that,1,1
152,It was [MASK] that she hates.,7.689025,ACC,obj,3rd-plr,that,1,1
153,It was [MASK] that she greeted.,7.413848,ACC,obj,3rd-plr,that,1,1
154,It was [MASK] that she found.,6.7114277,ACC,obj,3rd-plr,that,1,1
155,It was [MASK] that she feared.,6.5665965,ACC,obj,3rd-plr,that,1,1
156,It was [MASK] that she drew.,7.7274065,ACC,obj,3rd-plr,that,1,1
157,It was [MASK] that she called.,11.315426,ACC,obj,3rd-plr,that,1,1
158,It was [MASK] that she avoided.,7.6969347,ACC,obj,3rd-plr,that,1,1
159,It was [MASK] that she advised.,6.2327766,ACC,obj,3rd-plr,that,1,1
160,It was [MASK] that she admired.,7.5190306,ACC,obj,3rd-plr,that,1,1
161,It is [MASK] that she wanted.,8.380672,ACC,obj,3rd-plr,that,1,1
162,It is [MASK] that she valued.,7.839628,ACC,obj,3rd-plr,that,1,1
163,It is [MASK] that she trusted.,6.7296906,ACC,obj,3rd-plr,that,1,1
164,It is [MASK] that she told.,7.889306,ACC,obj,3rd-plr,that,1,1
165,It is [MASK] that she taught.,7.6373296,ACC,obj,3rd-plr,that,1,1
166,It is [MASK] that she stroke.,9.152413,ACC,obj,3rd-plr,that,1,1
167,It is [MASK] that she sent.,7.3036346,ACC,obj,3rd-plr,that,1,1
168,It is [MASK] that she saw.,7.4109163,ACC,obj,3rd-plr,that,1,1
169,It is [MASK] that she respected.,6.8596373,ACC,obj,3rd-plr,that,1,1
170,It is [MASK] that she pushed.,8.997731,ACC,obj,3rd-plr,that,1,1
171,It is [MASK] that she pulled.,8.097204,ACC,obj,3rd-plr,that,1,1
172,It is [MASK] that she pressed.,10.642355,ACC,obj,3rd-plr,that,1,1
173,It is [MASK] that she praised.,7.0345993,ACC,obj,3rd-plr,that,1,1
174,It is [MASK] that she painted.,9.4372635,ACC,obj,3rd-plr,that,1,1
175,It is [MASK] that she noticed.,11.794426,ACC,obj,3rd-plr,that,1,1
176,It is [MASK] that she needed.,9.279505,ACC,obj,3rd-plr,that,1,1
177,It is [MASK] that she missed.,8.153163,ACC,obj,3rd-plr,that,1,1
178,It is [MASK] that she loves.,7.1662135,ACC,obj,3rd-plr,that,1,1
179,It is [MASK] that she likes.,8.659527,ACC,obj,3rd-plr,that,1,1
180,It is [MASK] that she injured.,11.206365,ACC,obj,3rd-plr,that,1,1
181,It is [MASK] that she hurt.,9.549785,ACC,obj,3rd-plr,that,1,1
182,It is [MASK] that she hit.,7.098721,ACC,obj,3rd-plr,that,1,1
183,It is [MASK] that she heard.,10.016829,ACC,obj,3rd-plr,that,1,1
184,It is [MASK] that she hates.,7.0095544,ACC,obj,3rd-plr,that,1,1
185,It is [MASK] that she greeted.,7.422651,ACC,obj,3rd-plr,that,1,1
186,It is [MASK] that she found.,7.1639647,ACC,obj,3rd-plr,that,1,1
187,It is [MASK] that she feared.,6.6419992,ACC,obj,3rd-plr,that,1,1
188,It is [MASK] that she drew.,7.749156,ACC,obj,3rd-plr,that,1,1
189,It is [MASK] that she called.,11.383409,ACC,obj,3rd-plr,that,1,1
190,It is [MASK] that she avoided.,7.9291635,ACC,obj,3rd-plr,that,1,1
191,It is [MASK] that she advised.,7.2983127,ACC,obj,3rd-plr,that,1,1
192,It is [MASK] that she admired.,7.249606,ACC,obj,3rd-plr,that,1,1
193,It was [MASK] that he wanted.,2.0783975,ACC,obj,3rd-sing-f,that,1,1
194,It was [MASK] that he valued.,2.627181,ACC,obj,3rd-sing-f,that,1,1
195,It was [MASK] that he trusted.,3.2755399,ACC,obj,3rd-sing-f,that,1,1
196,It was [MASK] that he told.,4.25922,ACC,obj,3rd-sing-f,that,1,1
197,It was [MASK] that he taught.,5.738749,ACC,obj,3rd-sing-f,that,1,1
198,It was [MASK] that he stroke.,6.4100876,ACC,obj,3rd-sing-f,that,1,1
199,It was [MASK] that he sent.,2.9336507,ACC,obj,3rd-sing-f,that,1,1
200,It was [MASK] that he saw.,2.7247813,ACC,obj,3rd-sing-f,that,1,1
201,It was [MASK] that he respected.,2.7185123,ACC,obj,3rd-sing-f,that,1,1
202,It was [MASK] that he pushed.,4.1154876,ACC,obj,3rd-sing-f,that,1,1
203,It was [MASK] that he pulled.,3.615655,ACC,obj,3rd-sing-f,that,1,1
204,It was [MASK] that he pressed.,5.455497,ACC,obj,3rd-sing-f,that,1,1
205,It was [MASK] that he praised.,2.8405645,ACC,obj,3rd-sing-f,that,1,1
206,It was [MASK] that he painted.,4.1671257,ACC,obj,3rd-sing-f,that,1,1
207,It was [MASK] that he noticed.,4.7304296,ACC,obj,3rd-sing-f,that,1,1
208,It was [MASK] that he needed.,3.928877,ACC,obj,3rd-sing-f,that,1,1
209,It was [MASK] that he missed.,2.6972122,ACC,obj,3rd-sing-f,that,1,1
210,It was [MASK] that he loves.,2.5577753,ACC,obj,3rd-sing-f,that,1,1
211,It was [MASK] that he likes.,4.571499,ACC,obj,3rd-sing-f,that,1,1
212,It was [MASK] that he injured.,4.0197263,ACC,obj,3rd-sing-f,that,1,1
213,It was [MASK] that he hurt.,5.138485,ACC,obj,3rd-sing-f,that,1,1
214,It was [MASK] that he hit.,3.2062912,ACC,obj,3rd-sing-f,that,1,1
215,It was [MASK] that he heard.,3.7139308,ACC,obj,3rd-sing-f,that,1,1
216,It was [MASK] that he hates.,4.0663285,ACC,obj,3rd-sing-f,that,1,1
217,It was [MASK] that he greeted.,2.8859353,ACC,obj,3rd-sing-f,that,1,1
218,It was [MASK] that he found.,4.2506866,ACC,obj,3rd-sing-f,that,1,1
219,It was [MASK] that he feared.,2.179289,ACC,obj,3rd-sing-f,that,1,1
220,It was [MASK] that he drew.,4.717786,ACC,obj,3rd-sing-f,that,1,1
221,It was [MASK] that he called.,6.4970374,ACC,obj,3rd-sing-f,that,1,1
222,It was [MASK] that he avoided.,5.2058887,ACC,obj,3rd-sing-f,that,1,1
223,It was [MASK] that he advised.,3.470586,ACC,obj,3rd-sing-f,that,1,1
224,It was [MASK] that he admired.,2.2600033,ACC,obj,3rd-sing-f,that,1,1
225,It is [MASK] that he wanted.,3.8384316,ACC,obj,3rd-sing-f,that,1,1
226,It is [MASK] that he valued.,4.808812,ACC,obj,3rd-sing-f,that,1,1
227,It is [MASK] that he trusted.,4.144735,ACC,obj,3rd-sing-f,that,1,1
228,It is [MASK] that he told.,6.360294,ACC,obj,3rd-sing-f,that,1,1
229,It is [MASK] that he taught.,7.75719,ACC,obj,3rd-sing-f,that,1,1
230,It is [MASK] that he stroke.,7.535895,ACC,obj,3rd-sing-f,that,1,1
231,It is [MASK] that he sent.,4.4567013,ACC,obj,3rd-sing-f,that,1,1
232,It is [MASK] that he saw.,4.678795,ACC,obj,3rd-sing-f,that,1,1
233,It is [MASK] that he respected.,4.5618215,ACC,obj,3rd-sing-f,that,1,1
234,It is [MASK] that he pushed.,6.451058,ACC,obj,3rd-sing-f,that,1,1
235,It is [MASK] that he pulled.,5.2167897,ACC,obj,3rd-sing-f,that,1,1
236,It is [MASK] that he pressed.,7.7406034,ACC,obj,3rd-sing-f,that,1,1
237,It is [MASK] that he praised.,4.765108,ACC,obj,3rd-sing-f,that,1,1
238,It is [MASK] that he painted.,10.1673975,ACC,obj,3rd-sing-f,that,1,1
239,It is [MASK] that he noticed.,9.46192,ACC,obj,3rd-sing-f,that,1,1
240,It is [MASK] that he needed.,5.774468,ACC,obj,3rd-sing-f,that,1,1
241,It is [MASK] that he missed.,4.4577327,ACC,obj,3rd-sing-f,that,1,1
242,It is [MASK] that he loves.,1.8225483,ACC,obj,3rd-sing-f,that,1,1
243,It is [MASK] that he likes.,4.130953,ACC,obj,3rd-sing-f,that,1,1
244,It is [MASK] that he injured.,10.712135,ACC,obj,3rd-sing-f,that,1,1
245,It is [MASK] that he hurt.,5.1055293,ACC,obj,3rd-sing-f,that,1,1
246,It is [MASK] that he hit.,4.031176,ACC,obj,3rd-sing-f,that,1,1
247,It is [MASK] that he heard.,7.938594,ACC,obj,3rd-sing-f,that,1,1
248,It is [MASK] that he hates.,3.6891012,ACC,obj,3rd-sing-f,that,1,1
249,It is [MASK] that he greeted.,3.808601,ACC,obj,3rd-sing-f,that,1,1
250,It is [MASK] that he found.,5.0642548,ACC,obj,3rd-sing-f,that,1,1
251,It is [MASK] that he feared.,4.2152047,ACC,obj,3rd-sing-f,that,1,1
252,It is [MASK] that he drew.,5.6404195,ACC,obj,3rd-sing-f,that,1,1
253,It is [MASK] that he called.,8.607972,ACC,obj,3rd-sing-f,that,1,1
254,It is [MASK] that he avoided.,7.131406,ACC,obj,3rd-sing-f,that,1,1
255,It is [MASK] that he advised.,7.1948223,ACC,obj,3rd-sing-f,that,1,1
256,It is [MASK] that he admired.,4.2493234,ACC,obj,3rd-sing-f,that,1,1
257,It was [MASK] that she wanted.,2.118268,ACC,obj,3rd-sing-m,that,1,1
258,It was [MASK] that she valued.,3.180956,ACC,obj,3rd-sing-m,that,1,1
259,It was [MASK] that she trusted.,2.2129486,ACC,obj,3rd-sing-m,that,1,1
260,It was [MASK] that she told.,3.722957,ACC,obj,3rd-sing-m,that,1,1
261,It was [MASK] that she taught.,5.389211,ACC,obj,3rd-sing-m,that,1,1
262,It was [MASK] that she stroke.,5.636159,ACC,obj,3rd-sing-m,that,1,1
263,It was [MASK] that she sent.,2.83527,ACC,obj,3rd-sing-m,that,1,1
264,It was [MASK] that she saw.,2.2426252,ACC,obj,3rd-sing-m,that,1,1
265,It was [MASK] that she respected.,2.09423,ACC,obj,3rd-sing-m,that,1,1
266,It was [MASK] that she pushed.,3.9843743,ACC,obj,3rd-sing-m,that,1,1
267,It was [MASK] that she pulled.,3.4941092,ACC,obj,3rd-sing-m,that,1,1
268,It was [MASK] that she pressed.,6.619402,ACC,obj,3rd-sing-m,that,1,1
269,It was [MASK] that she praised.,2.3466227,ACC,obj,3rd-sing-m,that,1,1
270,It was [MASK] that she painted.,4.565389,ACC,obj,3rd-sing-m,that,1,1
271,It was [MASK] that she noticed.,3.9815543,ACC,obj,3rd-sing-m,that,1,1
272,It was [MASK] that she needed.,3.290716,ACC,obj,3rd-sing-m,that,1,1
273,It was [MASK] that she missed.,2.584166,ACC,obj,3rd-sing-m,that,1,1
274,It was [MASK] that she loves.,2.8505473,ACC,obj,3rd-sing-m,that,1,1
275,It was [MASK] that she likes.,4.4942703,ACC,obj,3rd-sing-m,that,1,1
276,It was [MASK] that she injured.,3.9296608,ACC,obj,3rd-sing-m,that,1,1
277,It was [MASK] that she hurt.,5.479087,ACC,obj,3rd-sing-m,that,1,1
278,It was [MASK] that she hit.,2.102664,ACC,obj,3rd-sing-m,that,1,1
279,It was [MASK] that she heard.,3.5476296,ACC,obj,3rd-sing-m,that,1,1
280,It was [MASK] that she hates.,3.5509677,ACC,obj,3rd-sing-m,that,1,1
281,It was [MASK] that she greeted.,2.8413932,ACC,obj,3rd-sing-m,that,1,1
282,It was [MASK] that she found.,4.157385,ACC,obj,3rd-sing-m,that,1,1
283,It was [MASK] that she feared.,1.5051775,ACC,obj,3rd-sing-m,that,1,1
284,It was [MASK] that she drew.,4.061435,ACC,obj,3rd-sing-m,that,1,1
285,It was [MASK] that she called.,8.599074,ACC,obj,3rd-sing-m,that,1,1
286,It was [MASK] that she avoided.,4.172665,ACC,obj,3rd-sing-m,that,1,1
287,It was [MASK] that she advised.,2.5741715,ACC,obj,3rd-sing-m,that,1,1
288,It was [MASK] that she admired.,1.7543739,ACC,obj,3rd-sing-m,that,1,1
289,It is [MASK] that she wanted.,3.406001,ACC,obj,3rd-sing-m,that,1,1
290,It is [MASK] that she valued.,4.1798844,ACC,obj,3rd-sing-m,that,1,1
291,It is [MASK] that she trusted.,2.2029462,ACC,obj,3rd-sing-m,that,1,1
292,It is [MASK] that she told.,5.6870537,ACC,obj,3rd-sing-m,that,1,1
293,It is [MASK] that she taught.,6.5715075,ACC,obj,3rd-sing-m,that,1,1
294,It is [MASK] that she stroke.,6.8173313,ACC,obj,3rd-sing-m,that,1,1
295,It is [MASK] that she sent.,4.1519423,ACC,obj,3rd-sing-m,that,1,1
296,It is [MASK] that she saw.,3.8761353,ACC,obj,3rd-sing-m,that,1,1
297,It is [MASK] that she respected.,2.671056,ACC,obj,3rd-sing-m,that,1,1
298,It is [MASK] that she pushed.,5.59151,ACC,obj,3rd-sing-m,that,1,1
299,It is [MASK] that she pulled.,4.788919,ACC,obj,3rd-sing-m,that,1,1
300,It is [MASK] that she pressed.,8.10698,ACC,obj,3rd-sing-m,that,1,1
301,It is [MASK] that she praised.,3.7215974,ACC,obj,3rd-sing-m,that,1,1
302,It is [MASK] that she painted.,7.0148554,ACC,obj,3rd-sing-m,that,1,1
303,It is [MASK] that she noticed.,8.18456,ACC,obj,3rd-sing-m,that,1,1
304,It is [MASK] that she needed.,4.68933,ACC,obj,3rd-sing-m,that,1,1
305,It is [MASK] that she missed.,3.6426883,ACC,obj,3rd-sing-m,that,1,1
306,It is [MASK] that she loves.,2.02216,ACC,obj,3rd-sing-m,that,1,1
307,It is [MASK] that she likes.,4.289245,ACC,obj,3rd-sing-m,that,1,1
308,It is [MASK] that she injured.,8.238694,ACC,obj,3rd-sing-m,that,1,1
309,It is [MASK] that she hurt.,5.7608275,ACC,obj,3rd-sing-m,that,1,1
310,It is [MASK] that she hit.,3.6984541,ACC,obj,3rd-sing-m,that,1,1
311,It is [MASK] that she heard.,7.1428103,ACC,obj,3rd-sing-m,that,1,1
312,It is [MASK] that she hates.,2.975833,ACC,obj,3rd-sing-m,that,1,1
313,It is [MASK] that she greeted.,2.7482858,ACC,obj,3rd-sing-m,that,1,1
314,It is [MASK] that she found.,4.600485,ACC,obj,3rd-sing-m,that,1,1
315,It is [MASK] that she feared.,2.591096,ACC,obj,3rd-sing-m,that,1,1
316,It is [MASK] that she drew.,4.378578,ACC,obj,3rd-sing-m,that,1,1
317,It is [MASK] that she called.,9.398876,ACC,obj,3rd-sing-m,that,1,1
318,It is [MASK] that she avoided.,5.1405244,ACC,obj,3rd-sing-m,that,1,1
319,It is [MASK] that she advised.,4.8613377,ACC,obj,3rd-sing-m,that,1,1
320,It is [MASK] that she admired.,2.7740262,ACC,obj,3rd-sing-m,that,1,1
321,It was [MASK] that wanted her.,10.185343,ACC,subj,1st-plr,that,2,1
322,It was [MASK] that valued her.,9.623769,ACC,subj,1st-plr,that,2,1
323,It was [MASK] that trusted her.,8.353685,ACC,subj,1st-plr,that,2,1
324,It was [MASK] that told her.,11.204593,ACC,subj,1st-plr,that,2,1
325,It was [MASK] that taught her.,9.162863,ACC,subj,1st-plr,that,2,1
326,It was [MASK] that stroke her.,12.935173,ACC,subj,1st-plr,that,2,1
327,It was [MASK] that sent her.,9.953001,ACC,subj,1st-plr,that,2,1
328,It was [MASK] that saw her.,9.137437,ACC,subj,1st-plr,that,2,1
329,It was [MASK] that respected her.,8.833357,ACC,subj,1st-plr,that,2,1
330,It was [MASK] that pushed her.,10.695332,ACC,subj,1st-plr,that,2,1
331,It was [MASK] that pulled her.,11.242131,ACC,subj,1st-plr,that,2,1
332,It was [MASK] that pressed her.,12.677736,ACC,subj,1st-plr,that,2,1
333,It was [MASK] that praised her.,10.087206,ACC,subj,1st-plr,that,2,1
334,It was [MASK] that painted her.,10.756391,ACC,subj,1st-plr,that,2,1
335,It was [MASK] that noticed her.,10.436035,ACC,subj,1st-plr,that,2,1
336,It was [MASK] that needed her.,7.0588584,ACC,subj,1st-plr,that,2,1
337,It was [MASK] that missed her.,8.279871,ACC,subj,1st-plr,that,2,1
338,It was [MASK] that love her.,7.4062085,ACC,subj,1st-plr,that,2,1
339,It was [MASK] that like her.,16.20486,ACC,subj,1st-plr,that,2,1
340,It was [MASK] that injured her.,11.01874,ACC,subj,1st-plr,that,2,1
