idx,sen,comp,sur,case,order.case
137,It is us [MASK] she heard.,who,12.6995325,ACC,1
138,It is us [MASK] she noticed.,who,12.189111,ACC,1
139,It was us [MASK] she pressed.,who,11.847376,ACC,1
140,It is us [MASK] she called.,who,11.670754,ACC,1
141,It is us [MASK] she praised.,who,10.7111435,ACC,1
142,It is us [MASK] she drew.,who,10.538301,ACC,1
143,It was us [MASK] she told.,who,10.4906025,ACC,1
144,It is us [MASK] she feared.,who,10.48088,ACC,1
145,It was us [MASK] stroke her.,who,10.276529,ACC,1
146,It was us [MASK] she needed.,who,9.113653,ACC,1
147,It was us [MASK] she noticed.,who,8.6201,ACC,1
148,It was us [MASK] she wanted.,who,8.615918,ACC,1
149,It was us [MASK] she heard.,who,8.466594,ACC,1
150,It was us [MASK] like her.,who,8.372244,ACC,1
151,It was us [MASK] she saw.,who,8.337208,ACC,1
152,It is us [MASK] she saw.,who,8.291513,ACC,1
153,It was us [MASK] she called.,who,8.28866,ACC,1
154,It was us [MASK] she drew.,who,8.188326,ACC,1
155,It is us [MASK] she pulled.,who,8.157071,ACC,1
156,It is us [MASK] she painted.,who,7.868219,ACC,1
157,It was us [MASK] she praised.,who,7.4748363,ACC,1
158,It is us [MASK] she needed.,who,7.2983317,ACC,1
159,It is us [MASK] she wanted.,who,7.251,ACC,1
160,It was us [MASK] she valued.,who,7.237546,ACC,1
161,It was us [MASK] she loves.,who,6.807818,ACC,1
162,It was us [MASK] she painted.,who,6.8053317,ACC,1
163,It is us [MASK] she admired.,who,6.7321587,ACC,1
164,It was us [MASK] she pushed.,who,6.6551385,ACC,1
165,It is us [MASK] she taught.,who,6.572841,ACC,1
166,It is us [MASK] she stroke.,who,6.5683393,ACC,1
167,It was us [MASK] she pulled.,who,6.420123,ACC,1
168,It was us [MASK] she stroke.,who,6.095368,ACC,1
169,It was us [MASK] she found.,who,6.086044,ACC,1
170,It was us [MASK] love her.,who,6.000908,ACC,1
171,It is us [MASK] she found.,who,6.000457,ACC,1
172,It is us [MASK] she valued.,who,5.8479843,ACC,1
173,It was us [MASK] she likes.,who,5.847377,ACC,1
174,It was us [MASK] she feared.,who,5.8334584,ACC,1
175,It is us [MASK] she loves.,who,5.808249,ACC,1
176,It is us [MASK] she missed.,who,5.7283278,ACC,1
177,It was us [MASK] she missed.,who,5.68565,ACC,1
178,It was us [MASK] she taught.,who,5.601212,ACC,1
179,It is us [MASK] she likes.,who,5.543943,ACC,1
180,It is us [MASK] she avoided.,who,5.28705,ACC,1
181,It was us [MASK] she avoided.,who,5.258768,ACC,1
182,It was us [MASK] she admired.,who,5.245174,ACC,1
183,It was us [MASK] she hurt.,who,5.2442846,ACC,1
184,It is us [MASK] stroke her.,who,5.095057,ACC,1
185,It was us [MASK] she hates.,who,5.0004196,ACC,1
186,It was us [MASK] she respected.,who,4.99604,ACC,1
187,It was us [MASK] she hit.,who,4.7875595,ACC,1
188,It is us [MASK] she respected.,who,4.702806,ACC,1
189,It was us [MASK] she greeted.,who,4.67173,ACC,1
190,It is us [MASK] she hates.,who,4.6355457,ACC,1
191,It is us [MASK] like her.,who,4.6275163,ACC,1
192,It was us [MASK] she trusted.,who,4.368463,ACC,1
193,It is us [MASK] she hit.,who,4.316798,ACC,1
194,It was us [MASK] hate her.,who,4.276568,ACC,1
195,It is us [MASK] she hurt.,who,4.128491,ACC,1
196,It is us [MASK] she trusted.,who,3.9751337,ACC,1
197,It was us [MASK] drew her.,who,3.3404348,ACC,1
198,It is us [MASK] she injured.,who,3.19069,ACC,1
199,It was us [MASK] she injured.,who,2.9786928,ACC,1
200,It is us [MASK] drew her.,who,2.5354288,ACC,1
201,It is us [MASK] pulled her.,who,2.192,ACC,1
202,It is us [MASK] called her.,who,2.042742,ACC,1
203,It was us [MASK] pulled her.,who,1.8590178,ACC,1
204,It was us [MASK] hit her.,who,1.8012983,ACC,1
205,It is us [MASK] advised her.,who,1.7453747,ACC,1
206,It is us [MASK] pressed her.,who,1.6595721,ACC,1
207,It was us [MASK] missed her.,who,1.6538639,ACC,1
208,It was us [MASK] hurt her.,who,1.6499428,ACC,1
209,It is us [MASK] hit her.,who,1.6090542,ACC,1
210,It is us [MASK] missed her.,who,1.4110972,ACC,1
211,It is us [MASK] hurt her.,who,1.4031777,ACC,1
212,It is us [MASK] pushed her.,who,1.3538117,ACC,1
213,It was us [MASK] injured her.,who,1.323246,ACC,1
214,It was us [MASK] found her.,who,1.2708205,ACC,1
215,It was us [MASK] taught her.,who,1.2523683,ACC,1
216,It is us [MASK] injured her.,who,1.2272298,ACC,1
217,It is us [MASK] found her.,who,1.1245073,ACC,1
218,It was us [MASK] pushed her.,who,1.0933857,ACC,1
219,It is us [MASK] told her.,who,1.0751818,ACC,1
220,It was us [MASK] wanted her.,who,0.98490095,ACC,1
221,It was us [MASK] called her.,who,0.9667244,ACC,1
222,It is us [MASK] wanted her.,who,0.9376501,ACC,1
223,It was us [MASK] pressed her.,who,0.9354064,ACC,1
224,It is us [MASK] needed her.,who,0.9128846,ACC,1
225,It is us [MASK] taught her.,who,0.8597656,ACC,1
226,It was us [MASK] needed her.,who,0.85570836,ACC,1
227,It is us [MASK] noticed her.,who,0.81744486,ACC,1
228,It is us [MASK] heard her.,who,0.78870714,ACC,1
229,It was us [MASK] avoided her.,who,0.77785915,ACC,1
230,It was us [MASK] painted her.,who,0.7712127,ACC,1
231,It is us [MASK] greeted her.,who,0.7618058,ACC,1
232,It was us [MASK] heard her.,who,0.7421987,ACC,1
233,It is us [MASK] saw her.,who,0.74200916,ACC,1
234,It is us [MASK] valued her.,who,0.73798966,ACC,1
235,It was us [MASK] valued her.,who,0.7241794,ACC,1
236,It is us [MASK] avoided her.,who,0.72341394,ACC,1
237,It was us [MASK] saw her.,who,0.7233921,ACC,1
238,It is us [MASK] trusted her.,who,0.709565,ACC,1
239,It is us [MASK] sent her.,who,0.7016787,ACC,1
240,It was us [MASK] sent her.,who,0.6911798,ACC,1
241,It is us [MASK] love her.,who,0.68599117,ACC,1
242,It is us [MASK] praised her.,who,0.67827284,ACC,1
243,It was us [MASK] told her.,who,0.6762407,ACC,1
244,It was us [MASK] noticed her.,who,0.6525523,ACC,1
245,It was us [MASK] trusted her.,who,0.58494,ACC,1
246,It was us [MASK] advised her.,who,0.581992,ACC,1
247,It is us [MASK] painted her.,who,0.55587584,ACC,1
248,It is us [MASK] hate her.,who,0.54295,ACC,1
249,It is us [MASK] respected her.,who,0.5293051,ACC,1
250,It is us [MASK] feared her.,who,0.5241831,ACC,1
251,It was us [MASK] respected her.,who,0.4622228,ACC,1
252,It was us [MASK] feared her.,who,0.45969704,ACC,1
253,It is us [MASK] admired her.,who,0.37621886,ACC,1
254,It was us [MASK] admired her.,who,0.33358875,ACC,1
255,It was us [MASK] praised her.,who,0.3084653,ACC,1
256,It was us [MASK] greeted her.,who,0.30644456,ACC,1
257,It is we [MASK] she pressed.,that,8.694061,NOM,2
258,It is we [MASK] she sent.,that,8.673233,NOM,2
259,It was we [MASK] she advised.,that,7.3282166,NOM,2
260,It is we [MASK] told her.,that,6.1202335,NOM,2
261,It is we [MASK] she advised.,that,6.032926,NOM,2
262,It was we [MASK] she sent.,that,5.8877654,NOM,2
263,It is we [MASK] she greeted.,that,5.2602186,NOM,2
264,It was we [MASK] like her.,that,4.627191,NOM,2
265,It is we [MASK] taught her.,that,4.100919,NOM,2
266,It is we [MASK] called her.,that,4.0916796,NOM,2
267,It is we [MASK] like her.,that,3.9971094,NOM,2
268,It was we [MASK] she pressed.,that,3.786428,NOM,2
269,It was we [MASK] greeted her.,that,3.6357224,NOM,2
270,It is we [MASK] she told.,that,3.4253478,NOM,2
271,It is we [MASK] she feared.,that,3.393406,NOM,2
272,It is we [MASK] painted her.,that,3.3538556,NOM,2
273,It was we [MASK] called her.,that,3.2415352,NOM,2
274,It is we [MASK] she pushed.,that,3.0495675,NOM,2
275,It was we [MASK] told her.,that,3.0492897,NOM,2
276,It was we [MASK] painted her.,that,2.986205,NOM,2
277,It was we [MASK] sent her.,that,2.8732948,NOM,2
278,It was we [MASK] praised her.,that,2.8456738,NOM,2
279,It was we [MASK] stroke her.,that,2.8216903,NOM,2
280,It is we [MASK] noticed her.,that,2.7906854,NOM,2
281,It was we [MASK] advised her.,that,2.769857,NOM,2
282,It is we [MASK] heard her.,that,2.7050524,NOM,2
283,It is we [MASK] sent her.,that,2.6953197,NOM,2
284,It was we [MASK] admired her.,that,2.6311927,NOM,2
285,It is we [MASK] advised her.,that,2.5700645,NOM,2
286,It is we [MASK] she hurt.,that,2.5556064,NOM,2
287,It is we [MASK] she injured.,that,2.555293,NOM,2
288,It was we [MASK] feared her.,that,2.5395694,NOM,2
289,It is we [MASK] admired her.,that,2.5026932,NOM,2
290,It was we [MASK] valued her.,that,2.4760835,NOM,2
291,It is we [MASK] missed her.,that,2.4482353,NOM,2
292,It was we [MASK] taught her.,that,2.4158762,NOM,2
293,It was we [MASK] respected her.,that,2.3952122,NOM,2
294,It was we [MASK] trusted her.,that,2.394336,NOM,2
295,It was we [MASK] noticed her.,that,2.3888958,NOM,2
296,It is we [MASK] praised her.,that,2.2555022,NOM,2
297,It is we [MASK] needed her.,that,2.2349164,NOM,2
298,It is we [MASK] valued her.,that,2.2259278,NOM,2
299,It is we [MASK] greeted her.,that,2.175805,NOM,2
300,It is we [MASK] she heard.,that,2.1241689,NOM,2
301,It is we [MASK] wanted her.,that,2.0926893,NOM,2
302,It was we [MASK] hate her.,that,2.0872748,NOM,2
303,It was we [MASK] she injured.,that,2.0798922,NOM,2
304,It is we [MASK] trusted her.,that,2.0300443,NOM,2
305,It was we [MASK] saw her.,that,2.024752,NOM,2
306,It was we [MASK] avoided her.,that,2.021709,NOM,2
307,It is we [MASK] feared her.,that,1.9968771,NOM,2
308,It is we [MASK] saw her.,that,1.9911219,NOM,2
309,It was we [MASK] pressed her.,that,1.9891381,NOM,2
310,It is we [MASK] she called.,that,1.9755256,NOM,2
311,It is we [MASK] respected her.,that,1.9638358,NOM,2
312,It was we [MASK] missed her.,that,1.9335645,NOM,2
313,It was we [MASK] wanted her.,that,1.9258729,NOM,2
314,It was we [MASK] needed her.,that,1.8904588,NOM,2
315,It is we [MASK] she hit.,that,1.8711671,NOM,2
316,It is we [MASK] stroke her.,that,1.8480687,NOM,2
317,It was we [MASK] she hurt.,that,1.8467981,NOM,2
318,It was we [MASK] she told.,that,1.8334835,NOM,2
319,It is we [MASK] hate her.,that,1.8180705,NOM,2
320,It is we [MASK] love her.,that,1.6767038,NOM,2
321,It was we [MASK] heard her.,that,1.6765164,NOM,2
322,It is we [MASK] hurt her.,that,1.6511637,NOM,2
323,It is we [MASK] she noticed.,that,1.6261948,NOM,2
324,It is we [MASK] avoided her.,that,1.6123283,NOM,2
325,It was we [MASK] found her.,that,1.5958533,NOM,2
326,It is we [MASK] pushed her.,that,1.5649834,NOM,2
327,It was we [MASK] love her.,that,1.5307796,NOM,2
328,It is we [MASK] she praised.,that,1.4768828,NOM,2
329,It is we [MASK] hit her.,that,1.469811,NOM,2
330,It was we [MASK] pushed her.,that,1.4500698,NOM,2
331,It is we [MASK] she needed.,that,1.4187287,NOM,2
332,It was we [MASK] hurt her.,that,1.3908062,NOM,2
333,It is we [MASK] found her.,that,1.3352381,NOM,2
334,It was we [MASK] she likes.,that,1.3000681,NOM,2
335,It was we [MASK] hit her.,that,1.2961692,NOM,2
336,It is we [MASK] pressed her.,that,1.2766035,NOM,2
337,It was we [MASK] she called.,that,1.20858,NOM,2
338,It was we [MASK] injured her.,that,1.1914634,NOM,2
339,It is we [MASK] injured her.,that,1.1696174,NOM,2
340,It is we [MASK] she trusted.,that,1.1446656,NOM,2
341,It was we [MASK] she greeted.,that,1.1426597,NOM,2
342,It is we [MASK] she pulled.,that,1.0584357,NOM,2
343,It was we [MASK] she hates.,that,1.0132383,NOM,2
344,It is we [MASK] she drew.,that,0.9918359,NOM,2
345,It was we [MASK] she stroke.,that,0.97038215,NOM,2
346,It was we [MASK] she hit.,that,0.94180113,NOM,2
347,It is we [MASK] she likes.,that,0.9354495,NOM,2
348,It is we [MASK] she admired.,that,0.9293775,NOM,2
349,It is we [MASK] she missed.,that,0.91592526,NOM,2
350,It is we [MASK] she saw.,that,0.9141752,NOM,2
351,It is we [MASK] she hates.,that,0.87656516,NOM,2
352,It is we [MASK] pulled her.,that,0.82145154,NOM,2
353,It was we [MASK] pulled her.,that,0.8006651,NOM,2
354,It is we [MASK] drew her.,that,0.77400523,NOM,2
355,It was we [MASK] she heard.,that,0.7294878,NOM,2
356,It is we [MASK] she wanted.,that,0.7290775,NOM,2
357,It is we [MASK] she respected.,that,0.7167035,NOM,2
358,It is we [MASK] she painted.,that,0.7145838,NOM,2
359,It was we [MASK] she admired.,that,0.7081156,NOM,2
360,It was we [MASK] drew her.,that,0.7044138,NOM,2
361,It is we [MASK] she stroke.,that,0.7009312,NOM,2
362,It is we [MASK] she loves.,that,0.68320036,NOM,2
363,It was we [MASK] she saw.,that,0.6503552,NOM,2
364,It was we [MASK] she trusted.,that,0.6292223,NOM,2
365,It was we [MASK] she praised.,that,0.5963849,NOM,2
366,It was we [MASK] she drew.,that,0.54343975,NOM,2
367,It was we [MASK] she loves.,that,0.5279337,NOM,2
368,It was we [MASK] she painted.,that,0.5142708,NOM,2
369,It was we [MASK] she respected.,that,0.51249814,NOM,2
370,It was we [MASK] she pulled.,that,0.51064163,NOM,2
371,It is we [MASK] she valued.,that,0.502663,NOM,2
372,It is we [MASK] she found.,that,0.4974311,NOM,2
373,It was we [MASK] she pushed.,that,0.49574474,NOM,2
374,It is we [MASK] she avoided.,that,0.48349994,NOM,2
375,It was we [MASK] she feared.,that,0.47079015,NOM,2
376,It was we [MASK] she missed.,that,0.46053788,NOM,2
377,It is we [MASK] she taught.,that,0.44776997,NOM,2
378,It was we [MASK] she avoided.,that,0.38015783,NOM,2
379,It was we [MASK] she valued.,that,0.3730489,NOM,2
380,It was we [MASK] she noticed.,that,0.35657555,NOM,2
381,It was we [MASK] she taught.,that,0.30083734,NOM,2
382,It was we [MASK] she found.,that,0.2785192,NOM,2
383,It was we [MASK] she needed.,that,0.19265568,NOM,2
384,It was we [MASK] she wanted.,that,0.1571916,NOM,2
385,It is we [MASK] she sent.,who,14.26029,NOM,2
386,It is we [MASK] she pressed.,who,12.286581,NOM,2
387,It was we [MASK] she advised.,who,11.658707,NOM,2
388,It is we [MASK] she advised.,who,11.130257,NOM,2
389,It was we [MASK] she sent.,who,10.587046,NOM,2
390,It is we [MASK] she told.,who,9.072543,NOM,2
391,It is we [MASK] she greeted.,who,8.785558,NOM,2
392,It is we [MASK] she feared.,who,8.676564,NOM,2
393,It is we [MASK] she pushed.,who,7.8345037,NOM,2
394,It was we [MASK] she needed.,who,7.48347,NOM,2
395,It is we [MASK] she noticed.,who,7.0358863,NOM,2
396,It is we [MASK] she called.,who,7.0223017,NOM,2
397,It was we [MASK] she pressed.,who,6.837152,NOM,2
398,It is we [MASK] she needed.,who,6.778702,NOM,2
399,It is we [MASK] she drew.,who,6.710154,NOM,2
400,It was we [MASK] she wanted.,who,6.4769864,NOM,2
401,It is we [MASK] she heard.,who,6.260534,NOM,2
402,It was we [MASK] she told.,who,6.129303,NOM,2
403,It was we [MASK] she drew.,who,5.964204,NOM,2
404,It was we [MASK] she valued.,who,5.7584896,NOM,2
405,It is we [MASK] she missed.,who,5.6979885,NOM,2
406,It was we [MASK] she called.,who,5.6894283,NOM,2
407,It was we [MASK] she missed.,who,5.6483793,NOM,2
408,It is we [MASK] she pulled.,who,5.621753,NOM,2
409,It is we [MASK] she praised.,who,5.5651546,NOM,2
410,It was we [MASK] she stroke.,who,5.5283365,NOM,2
411,It is we [MASK] she stroke.,who,5.4900804,NOM,2
412,It was we [MASK] she pulled.,who,5.4270706,NOM,2
413,It is we [MASK] she likes.,who,5.3297987,NOM,2
414,It was we [MASK] she likes.,who,5.285905,NOM,2
415,It is we [MASK] she taught.,who,5.264935,NOM,2
416,It is we [MASK] she wanted.,who,5.21243,NOM,2
417,It is we [MASK] she painted.,who,5.1343994,NOM,2
418,It was we [MASK] she taught.,who,5.0273747,NOM,2
419,It is we [MASK] she valued.,who,5.0202966,NOM,2
420,It is we [MASK] she saw.,who,5.0138907,NOM,2
421,It was we [MASK] she pushed.,who,4.9551864,NOM,2
422,It was we [MASK] she found.,who,4.954579,NOM,2
423,It is we [MASK] she hit.,who,4.949047,NOM,2
424,It is we [MASK] she found.,who,4.862746,NOM,2
425,It is we [MASK] she avoided.,who,4.821877,NOM,2
426,It was we [MASK] she noticed.,who,4.8201494,NOM,2
427,It was we [MASK] she loves.,who,4.7638288,NOM,2
428,It was we [MASK] like her.,who,4.7513885,NOM,2
429,It was we [MASK] she respected.,who,4.652005,NOM,2
430,It is we [MASK] she hurt.,who,4.5930715,NOM,2
431,It was we [MASK] she painted.,who,4.5463443,NOM,2
432,It is we [MASK] she loves.,who,4.5120487,NOM,2
433,It was we [MASK] she admired.,who,4.499706,NOM,2
434,It is we [MASK] she injured.,who,4.473777,NOM,2
435,It is we [MASK] she admired.,who,4.4622555,NOM,2
436,It was we [MASK] she heard.,who,4.431156,NOM,2
437,It is we [MASK] she hates.,who,4.396916,NOM,2
438,It was we [MASK] she hit.,who,4.3952904,NOM,2
439,It was we [MASK] she avoided.,who,4.391013,NOM,2
440,It was we [MASK] she hates.,who,4.3750134,NOM,2
441,It is we [MASK] she respected.,who,4.368608,NOM,2
442,It was we [MASK] she saw.,who,4.348662,NOM,2
443,It was we [MASK] she hurt.,who,4.2360864,NOM,2
444,It was we [MASK] she feared.,who,4.0100555,NOM,2
445,It is we [MASK] like her.,who,3.7399838,NOM,2
446,It is we [MASK] she trusted.,who,3.727179,NOM,2
447,It was we [MASK] she trusted.,who,3.6021323,NOM,2
448,It was we [MASK] she praised.,who,3.5971146,NOM,2
449,It was we [MASK] stroke her.,who,3.4251733,NOM,2
450,It was we [MASK] she injured.,who,3.299772,NOM,2
451,It is we [MASK] told her.,who,2.5800471,NOM,2
452,It is we [MASK] heard her.,who,2.3393362,NOM,2
453,It was we [MASK] she greeted.,who,2.2280862,NOM,2
454,It was we [MASK] hate her.,who,1.9244719,NOM,2
455,It was we [MASK] love her.,who,1.6310235,NOM,2
456,It was we [MASK] drew her.,who,1.4305755,NOM,2
457,It is we [MASK] drew her.,who,1.3821261,NOM,2
458,It is we [MASK] missed her.,who,1.2862751,NOM,2
459,It is we [MASK] pulled her.,who,1.2852461,NOM,2
460,It is we [MASK] hit her.,who,1.2557683,NOM,2
461,It was we [MASK] pulled her.,who,1.2511302,NOM,2
462,It is we [MASK] stroke her.,who,1.2181814,NOM,2
463,It is we [MASK] called her.,who,1.1934087,NOM,2
464,It is we [MASK] advised her.,who,1.1601661,NOM,2
465,It is we [MASK] injured her.,who,1.0858055,NOM,2
466,It is we [MASK] noticed her.,who,1.0371517,NOM,2
467,It is we [MASK] pressed her.,who,0.97206634,NOM,2
468,It was we [MASK] injured her.,who,0.8538779,NOM,2
469,It is we [MASK] taught her.,who,0.8311008,NOM,2
470,It is we [MASK] found her.,who,0.8182266,NOM,2
471,It was we [MASK] hit her.,who,0.7920439,NOM,2
472,It is we [MASK] wanted her.,who,0.7572181,NOM,2
473,It was we [MASK] hurt her.,who,0.74019444,NOM,2
474,It is we [MASK] hurt her.,who,0.72445536,NOM,2
475,It is we [MASK] avoided her.,who,0.70493275,NOM,2
476,It was we [MASK] pushed her.,who,0.66952443,NOM,2
477,It is we [MASK] hate her.,who,0.6593478,NOM,2
478,It is we [MASK] pushed her.,who,0.6524119,NOM,2
479,It is we [MASK] saw her.,who,0.6228045,NOM,2
480,It is we [MASK] admired her.,who,0.62034464,NOM,2
481,It is we [MASK] love her.,who,0.6111311,NOM,2
482,It was we [MASK] found her.,who,0.59630954,NOM,2
483,It was we [MASK] heard her.,who,0.5726272,NOM,2
